time;accX;accY;accZ;gyroX;gyroY;gyroZ;alt;lat;lon
27.923100;-1.767520;-0.311353;-9.944120;0.031958;0.028762;0.002131;429.929000;0.000000;0.000000
27.943100;-1.771170;-0.313634;-10.038554;0.035204;0.031806;-0.000710;429.797190;0.000000;0.000000
27.963100;-1.774819;-0.315915;-10.132989;0.038451;0.034849;-0.003551;429.665381;0.000000;0.000000
27.983100;-1.778469;-0.318196;-10.227423;0.041698;0.037893;-0.006392;429.533571;0.000000;0.000000
28.003100;-1.782118;-0.320477;-10.321857;0.044944;0.040937;-0.009232;429.401762;0.000000;0.000000
28.023100;-1.785768;-0.322758;-10.416291;0.048191;0.043980;-0.012073;429.269952;0.000000;0.000000
28.043100;-1.773337;-0.331197;-10.438871;0.049002;0.045045;-0.012022;429.214714;0.000000;0.000000
28.063100;-1.755547;-0.341690;-10.437500;0.049002;0.045451;-0.011008;429.185000;0.000000;0.000000
28.083100;-1.737756;-0.352182;-10.436129;0.049002;0.045857;-0.009993;429.155286;0.000000;0.000000
28.103100;-1.719966;-0.362674;-10.434757;0.049002;0.046263;-0.008979;429.125571;0.000000;0.000000
28.123100;-1.702175;-0.373167;-10.433386;0.049002;0.046669;-0.007964;429.095857;0.000000;0.000000
28.143100;-1.699667;-0.366324;-10.412624;0.046060;0.045654;-0.005935;429.120714;0.000000;0.000000
28.163100;-1.712440;-0.342146;-10.372471;0.040176;0.043219;-0.002891;429.200143;0.000000;0.000000
28.183100;-1.725213;-0.317967;-10.332319;0.034291;0.040784;0.000152;429.279571;0.000000;0.000000
28.203100;-1.737987;-0.293789;-10.292167;0.028407;0.038350;0.003196;429.359000;0.000000;0.000000
28.223100;-1.750760;-0.269611;-10.252014;0.022523;0.035915;0.006239;429.438429;0.000000;0.000000
28.243100;-1.756804;-0.252047;-10.226919;0.017450;0.034646;0.007913;429.479143;0.000000;0.000000
28.263100;-1.742661;-0.254328;-10.246995;0.014812;0.036878;0.005479;429.403714;0.000000;0.000000
