#time, gyroX[]
27.9231,0.0319579
28.0281,0.0490022
28.1331,0.0490022
28.2381,0.0181095
28.3431,0.00426106
28.4481,0.0181095
28.5531,0.0234358
28.6581,0.0308927
28.7631,0.0340885
28.8681,0.0276969
28.9731,0.072438
29.0781,0.0245011
29.1831,0.0276969
29.2881,0.0266316
29.3931,-0.00745685
29.4981,0.0340885
29.6031,0.0330232
29.7081,0.0330232
29.8131,0.0340885
29.9181,0.0330232
30.0231,0.0340885
30.1281,0.0351537
30.2331,0.0340885
30.3381,0.0340885
30.4431,0.0340885
30.5481,0.0340885
30.6531,0.0330232
30.7581,0.0330232
30.8631,0.0330232
30.9681,0.0340885
31.0731,0.0340885
31.1781,0.0340885
31.2831,0.0340885
31.3881,0.0340885
31.4931,0.0788296
31.5981,-0.0479369
31.7031,0.0276969
31.8081,0.0351537
31.9131,0.036219
32.0181,0.04048
32.1231,0.036219
32.2281,0.0415453
32.3331,0.0287621
32.4381,0.02024
32.5431,0.0340885
32.6481,0.0415453
32.7531,0.0245011
32.8581,0.0255663
32.9631,0.0340885
33.0681,0.0319579
33.1731,0.0340885
33.2781,0.0340885
33.3831,0.0340885
33.4881,0.0340885
33.5931,0.0340885
33.6981,0.0330232
33.8031,0.0340885
33.9081,0.0330232
34.0131,0.0340885
34.1181,0.0340885
34.2231,0.0340885
34.3281,0.0340885
34.4331,0.0351537
34.5381,0.0319579
34.6431,0.0308927
34.7481,0.0287621
34.8531,0.036219
34.9581,0.0351537
35.0631,0.0308927
35.1681,0.0340885
35.2731,0.0276969
35.3781,0.0372843
35.4831,0.0330232
35.5881,0.0340885
35.6931,0.0340885
35.7981,0.0340885
35.9031,0.0340885
36.0081,0.0340885
36.1131,0.0340885
36.2181,0.0330232
36.3231,0.0340885
36.4281,0.0340885
36.5331,0.0340885
36.6381,0.0340885
36.7431,0.0340885
36.8481,0.0340885
36.9531,0.0340885
37.0581,0.0340885
37.1631,0.0340885
37.2681,0.0330232
37.3731,0.0330232
37.4781,0.0340885
37.5831,0.34408
37.6881,0.0106526
37.7931,0.00852212
37.8981,-0.0820254
38.0031,0.0287621
38.1081,0.0990696
38.2131,0.0500674
38.3181,0.0532632
38.4231,0.0447411
38.5281,0.0980043
38.6331,0.0415453
38.7381,0.0447411
38.8431,0.0330232
38.9481,0.0436758
39.0531,0.0511327
39.1581,0.0319579
39.2631,0.0735032
39.3681,0.0671117
39.4731,0.0468716
39.5781,0.0149137
39.6831,0.0213053
39.7881,0.0255663
39.8931,0.0394148
39.9981,0.00426106
40.1031,0.036219
40.2081,0.0106526
40.3131,0.0308927
40.4181,0.00852212
40.5231,0.0319579
40.6281,0.04048
40.7331,-0.00319579
40.8381,0.00958738
40.9431,0.0543285
41.0481,0.0756338
41.1531,0.0330232
41.2581,0.0351537
41.3631,0.0351537
41.4682,0.0340885
41.5731,0.0340885
41.6781,0.0340885
41.8041,0.0340885
41.9091,0.0330232
42.0141,0.0340885
42.1191,0.0340885
42.2241,0.0340885
42.3291,0.0340885
42.4341,0.0340885
42.5391,0.0330232
42.6441,0.0330232
42.7491,0.0340885
42.8541,0.0340885
42.9591,0.0330232
43.0641,0.0340885
43.1691,0.0340885
43.2741,0.0340885
43.3791,0.0330232
43.4841,0.0340885
43.5891,0.0340885
43.6941,0.0340885
43.7991,0.0340885
43.9041,0.0340885
44.0091,0.0340885
44.1141,0.0340885
44.2191,0.0340885
44.3241,0.0330232
44.4291,0.0340885
44.5341,0.0330232
44.6391,0.0340885
44.7441,0.0340885
44.8491,0.0340885
44.9541,0.0330232
45.0591,0.0340885
45.1641,0.0340885
45.2691,0.0340885
45.3741,0.0340885
45.4791,0.0340885
45.5841,0.0340885
45.6891,0.0340885
45.7941,0.0340885
45.8991,0.0340885
46.0041,0.0340885
46.1091,0.0340885
46.2141,0.0330232
46.3191,0.0330232
46.4241,0.0330232
46.5291,0.0340885
46.6341,0.0340885
46.7391,0.0340885
46.8441,0.0340885
46.9491,0.0340885
47.0541,0.0340885
47.1591,0.0340885
47.2641,0.0340885
47.3691,0.0330232
47.4741,0.0340885
47.5791,0.0340885
47.6841,0.0340885
47.7891,0.0340885
47.8941,0.0340885
47.9991,0.0340885
48.1041,0.0340885
48.2091,0.0340885
48.3141,0.0340885
48.4191,0.0340885
48.5241,0.0340885
48.6291,0.0340885
48.7341,0.0340885
48.8391,0.0340885
48.9441,0.0340885
49.0491,0.0340885
49.1541,0.0340885
49.2591,0.0340885
49.3641,0.0340885
49.4691,0.0351537
49.5741,0.0340885
49.6791,0.0340885
49.7841,0.0340885
49.8891,0.0330232
49.9941,0.0340885
50.0991,0.0340885
50.2041,0.0330232
50.3091,0.0330232
50.4141,0.0330232
50.5191,0.0276969
50.6241,0.0319579
50.7291,0.0287621
50.8341,0.0340885
50.9391,0.0447411
51.0441,0.0287621
51.1491,0.0330232
51.2541,0.0330232
51.3591,0.0330232
51.4641,0.0340885
51.5691,0.0330232
51.6741,0.0436758
51.7791,0.0287621
51.8841,0.0308927
51.9891,0.0255663
52.0941,0.0340885
52.1991,0.0340885
52.3041,0.0255663
52.4091,0.0372843
52.5141,0.00106526
52.6191,0.04048
52.7241,0.0340885
52.8291,0.0245011
52.9341,0.036219
53.0391,0.0351537
53.1441,0.0351537
53.2491,0.0319579
53.3541,0.0191748
53.4591,0.0266316
53.5641,0.0330232
53.6691,0.0383495
53.7741,0.0266316
53.8791,0.0298274
53.9841,0.0372843
54.0891,0.0383495
54.1941,0.0319579
54.2991,0.0340885
54.4041,0.0394148
54.5091,0.0340885
54.6141,0.0340885
54.7191,0.0383495
54.8241,0.04048
54.9291,0.0479369
55.0341,0.036219
55.1391,0.0234358
55.2441,0.0319579
55.3491,0.0340885
55.4541,0.0234358
55.5591,0.0340885
55.6641,0.0330232
55.7691,0.0383495
55.8741,0.0308927
55.9791,0.056459
56.0841,0.0596548
56.1891,0.015979
56.2941,0.00213053
56.3991,0.00745685
56.5041,0.04048
56.6091,0.052198
56.7141,0.0319579
56.8191,0.0415453
56.9241,0.0383495
57.0291,0.0170442
57.1341,0.0383495
57.2391,0.0351537
57.3441,0.0617853
57.4491,0.00852212
57.5541,0.0585895
57.6591,0.0223706
57.7641,0.0319579
57.8691,0.0458064
57.9741,0.0351537
58.0791,0.0372843
58.1841,0.0308927
58.2891,0.015979
58.3941,0.04048
58.4991,0.0426106
58.6041,0.0330232
58.7091,0.0351537
58.8141,0.0479369
58.9191,0.0308927
59.0241,0.0287621
59.1291,0.0330232
59.2341,0.0330232
59.3391,0.0351537
59.4441,0.0308927
59.5491,0.0287621
59.6541,0.0340885
59.7591,0.0372843
59.8641,0.0319579
59.9691,0.0330232
60.0741,0.0415453
60.1791,0.0426106
60.2841,0.0319579
60.3891,0.0383495
60.4941,0.0276969
60.5991,0.0426106
60.7041,0.0394148
60.8091,0.0394148
60.9141,0.0319579
61.0191,0.0245011
61.1241,0.0330232
61.2291,0.0330232
