#time, alt[]
27.9231,429.929
28.0281,429.237
28.1331,429.081
28.2381,429.498
28.3431,429.102
28.4481,429.221
28.5531,429.229
28.6581,428.048
28.7631,428.373
28.8681,428.64
28.9731,428.204
29.0781,428.87
29.1831,428.143
29.2881,427.665
29.3931,428.743
29.4981,428.888
29.6031,428.383
29.7081,428.444
29.8131,428.299
29.9181,429.327
30.0231,429.374
30.1281,427.657
30.2331,428.806
30.3381,428.161
30.4431,428.381
30.5481,533.184
30.6531,533.184
30.7581,533.184
30.8631,533.184
30.9681,533.184
31.0731,533.184
31.1781,533.184
31.2831,533.184
31.3881,533.184
31.4931,558.243
31.5981,558.243
31.7031,558.243
31.8081,558.243
31.9131,558.243
32.0181,558.243
32.1231,558.243
32.2281,558.243
32.3331,558.243
32.4381,558.243
32.5431,553.076
32.6481,553.076
32.7531,553.076
32.8581,553.076
32.9647,553.076
33.0681,553.076
33.1731,553.076
33.2781,553.076
33.3831,553.076
33.4881,553.076
33.5931,553.753
33.6981,553.753
33.8031,553.753
33.9081,553.753
34.0131,553.753
34.1181,553.753
34.2231,553.753
34.3281,553.753
34.4331,553.753
34.5381,555.571
34.6431,555.571
34.7481,555.571
34.8531,555.571
34.9581,555.571
35.0631,555.571
35.1681,555.571
35.2731,555.571
35.3781,555.571
35.4831,555.571
35.5881,556.459
35.6931,556.459
35.7981,556.459
35.9031,556.459
36.0081,556.459
36.1131,556.459
36.2181,556.459
36.3231,556.459
36.4281,556.459
36.5331,556.794
36.6381,556.794
36.7431,556.794
36.8481,556.794
36.9531,556.794
37.0581,556.794
37.1631,556.794
37.2681,556.794
37.3731,556.794
37.4781,556.794
37.5831,556.943
37.6881,556.943
37.7931,556.943
37.8981,556.943
38.0031,556.943
38.1081,556.943
38.2147,556.943
38.3181,556.943
38.4231,556.943
38.5281,557.053
38.6331,557.053
38.7381,557.053
38.8431,557.053
38.9481,557.053
39.0531,557.053
39.1581,557.053
39.2631,557.053
39.3681,557.053
39.4731,557.053
39.5781,557.212
39.6831,557.212
39.7881,557.212
39.8931,557.212
39.9981,557.212
40.1031,557.212
40.2081,557.212
40.3131,557.212
40.4181,557.212
40.5231,557.44
40.6281,557.44
40.7331,557.44
40.8381,557.44
40.9431,557.44
41.0481,557.44
41.1531,557.44
41.2581,557.44
41.3631,557.44
41.4682,557.44
41.5731,557.572
41.6781,557.572
41.8041,557.572
41.9091,557.572
42.0141,557.572
42.1191,557.572
42.2241,557.572
42.3291,557.572
42.4341,557.572
42.5391,557.437
42.6441,557.437
42.7491,557.437
42.8541,557.437
42.9591,557.437
43.0641,557.437
43.1691,557.437
43.2741,557.437
43.3808,557.437
43.4841,557.437
43.5891,556.844
43.6941,556.844
43.7991,556.844
43.9041,556.844
44.0091,556.844
44.1141,556.844
44.2191,556.844
44.3241,556.844
44.4291,556.844
44.5341,556.697
44.6391,556.697
44.7441,556.697
44.8491,556.697
44.9541,556.697
45.0591,556.697
45.1641,556.697
45.2691,556.697
45.3741,556.697
45.4791,556.697
45.5841,556.839
45.6891,556.839
45.7941,556.839
45.8991,556.839
46.0041,556.839
46.1091,556.839
46.2141,556.839
46.3191,556.839
46.4241,556.839
46.5291,556.561
46.6341,556.561
46.7391,556.561
46.8441,556.561
46.9491,556.561
47.0541,556.561
47.1591,556.561
47.2641,556.561
47.3691,556.561
47.4741,556.561
47.5791,556.553
47.6841,556.553
47.7891,556.553
47.8941,556.553
47.9991,556.553
48.1041,556.553
48.2091,556.553
48.3141,556.553
48.4191,556.553
48.5241,556.449
48.6308,556.449
48.7341,556.449
48.8391,556.449
48.9441,556.449
49.0491,556.449
49.1541,556.449
49.2591,556.449
49.3641,556.449
49.4691,556.449
49.5741,556.397
49.6791,556.397
49.7841,556.397
49.8891,556.397
49.9941,556.397
50.0991,556.397
50.2041,556.397
50.3091,556.397
50.4141,556.397
50.5191,556.303
50.6241,556.303
50.7291,556.303
50.8341,556.303
50.9391,556.303
51.0441,556.303
51.1491,556.303
51.2541,556.303
51.3591,556.303
51.4641,556.303
51.5691,556.238
51.6741,556.238
51.7791,556.238
51.8841,556.238
51.9891,556.238
52.0941,556.238
52.1991,556.238
52.3041,556.238
52.4091,556.238
52.5141,556.143
52.6191,556.143
52.7241,556.143
52.8291,556.143
52.9341,556.143
53.0391,556.143
53.1441,556.143
53.2491,556.143
53.3541,556.143
53.4591,556.143
53.5641,555.586
53.6691,555.586
53.7741,555.586
53.8889,555.586
53.9841,555.586
54.0891,555.586
54.1941,555.586
54.2991,555.586
54.4041,555.586
54.5091,555.406
54.6141,555.406
54.7191,555.406
54.8241,555.406
54.9291,555.406
55.0341,555.406
55.1391,555.406
55.2441,555.406
55.3491,555.406
55.4541,555.406
55.5591,555.439
55.6641,555.439
55.7691,555.439
55.8741,555.439
55.9791,555.439
56.0841,555.439
56.1891,555.439
56.2941,555.439
56.3991,555.439
