#time, accZ[]
27.9231,-9.94412
28.0281,-10.4399
28.1331,-10.4327
28.2381,-10.2219
28.3431,-10.3273
28.4481,-10.3609
28.5531,-10.3537
28.6581,-10.3106
28.7631,-10.3249
28.8681,-10.3153
28.9731,-10.3465
29.0781,-10.2555
29.1831,-10.4591
29.2881,-10.4806
29.3931,-10.1261
29.4981,-10.174
29.6031,-10.2531
29.7081,-10.2555
29.8131,-10.2746
29.9181,-10.2986
30.0231,-10.2818
30.1281,-10.2698
30.2331,-10.2722
30.3381,-10.289
30.4431,-10.2914
30.5481,-10.2914
30.6531,-10.2459
30.7581,-10.2914
30.8631,-10.2722
30.9681,-10.2722
31.0731,-10.2794
31.1781,-10.2722
31.2831,-10.2722
31.3881,-10.2555
31.4931,-10.9476
31.5981,-11.9368
31.7031,-10.653
31.8081,-10.3513
31.9131,-10.3058
32.0181,-10.3034
32.1231,-10.3297
32.2281,-10.2507
32.3331,-10.2459
32.4381,-10.9237
32.5431,-10.1094
32.6481,-10.3345
32.7531,-10.4016
32.8581,-10.3728
32.9631,-10.2722
33.0681,-10.404
33.1731,-10.289
33.2781,-10.2842
33.3831,-10.289
33.4881,-10.3393
33.5931,-10.3034
33.6981,-10.3177
33.8031,-10.2914
33.9081,-10.2722
34.0131,-10.2818
34.1181,-10.3058
34.2231,-10.2794
34.3281,-10.2579
34.4331,-10.3106
34.5381,-10.2363
34.6431,-10.2028
34.7481,-10.2339
34.8531,-10.3082
34.9581,-10.2674
35.0631,-10.2555
35.1681,-10.3082
35.2731,-10.3441
35.3781,-10.289
35.4831,-10.3106
35.5881,-10.2651
35.6931,-10.2986
35.7981,-10.2914
35.9031,-10.2698
36.0081,-10.2914
36.1131,-10.313
36.2181,-10.2722
36.3231,-10.289
36.4281,-10.2722
36.5331,-10.3034
36.6381,-10.3082
36.7431,-10.2818
36.8481,-10.3106
36.9531,-10.2818
37.0581,-10.301
37.1631,-10.2938
37.2681,-10.2914
37.3731,-10.2722
37.4781,-10.2746
37.5831,-9.90341
37.6881,-10.3369
37.7931,-10.3393
37.8981,-10.2579
38.0031,-10.4279
38.1081,-10.9093
38.2131,-10.2243
38.3181,-10.3992
38.4231,-10.3058
38.5281,-10.3944
38.6331,-10.2555
38.7381,-10.2674
38.8431,-10.4974
38.9481,-10.289
39.0531,-8.8017
39.1581,-10.3609
39.2631,-9.89383
39.3681,-10.3513
39.4731,-10.2195
39.5781,-10.2459
39.6831,-10.5333
39.7881,-10.4878
39.8931,-10.4591
39.9981,-10.2651
40.1031,-10.3896
40.2081,-10.1716
40.3131,-10.2531
40.4181,-10.3944
40.5231,-10.3609
40.6281,-10.598
40.7331,-10.5668
40.8381,-10.3321
40.9431,-10.5549
41.0481,-10.7321
41.1531,-10.1836
41.2581,-10.2818
41.3631,-10.3058
41.4682,-10.3034
41.5731,-10.2938
41.6781,-10.289
41.8041,-10.2962
41.9091,-10.2866
42.0141,-10.2962
42.1191,-10.3201
42.2241,-10.2962
42.3291,-10.3273
42.4341,-10.2818
42.5391,-10.3321
42.6441,-10.2962
42.7491,-10.3225
42.8541,-10.2818
42.9591,-10.3034
43.0641,-10.3034
43.1691,-10.3225
43.2741,-10.3034
43.3791,-10.3249
