#time, EleR[]
361.013,0.385671
361.118,-0.746128
361.223,-0.746128
361.328,-0.746128
361.433,-0.654105
361.538,-0.356812
361.643,-0.242066
361.748,-0.238436
361.853,-0.215582
361.958,-0.147665
362.063,-0.101949
362.168,-0.0760286
362.273,-0.126096
362.378,-0.147581
362.483,-0.166657
362.588,-0.182882
362.693,-0.127
362.798,-0.106247
362.903,-0.115708
363.008,-0.111484
363.113,-0.105947
363.218,-0.122574
363.323,-0.125353
363.428,-0.123561
363.533,-0.125091
363.638,-0.104077
363.743,-0.111761
363.848,-0.122069
363.953,-0.135942
364.058,-0.13773
364.163,-0.109459
364.268,-0.104394
364.373,-0.0963383
364.478,-0.0962753
364.583,-0.125132
364.688,-0.113789
364.793,-0.10825
364.901,-0.0922589
365.003,-0.0802604
365.108,-0.0766429
365.213,-0.0849477
365.318,-0.0981937
365.426,-0.106071
365.528,-0.0909275
365.633,-0.0776595
365.738,-0.0865202
365.843,-0.105255
365.949,-0.0962907
366.053,-0.0831191
366.158,-0.0780752
366.263,-0.0722363
366.368,-0.0823603
366.476,-0.0791403
366.578,-0.0753405
366.683,-0.0843711
366.788,-0.0806999
366.893,-0.0571305
366.998,-0.0476155
367.103,-0.0534626
367.208,-0.0447772
367.313,-0.0473834
367.418,-0.051397
367.523,-0.0452131
367.628,-0.0430235
367.733,-0.0357529
367.838,-0.0320922
367.943,-0.0273666
368.048,-0.0260092
368.153,-0.0228313
368.258,-0.0244171
368.363,-0.0211774
368.468,-0.0168134
368.574,-0.0200299
368.678,-0.0165266
368.783,-0.0185472
368.888,-0.0280948
368.993,-0.0371124
369.098,-0.0364194
369.203,0.000284058
369.308,-0.00833108
369.413,-0.0107698
369.518,-0.0257477
369.623,-0.0333042
369.728,-0.0450569
369.833,-0.0517729
369.938,-0.0321193
370.043,-0.0392407
370.148,-0.0175495
370.253,-0.00321259
370.358,-0.0249434
370.463,-0.037531
370.568,-0.0475344
370.673,-0.0568536
370.778,-0.0567195
370.883,-0.0754768
370.988,-0.0768821
371.093,-0.0437051
371.198,-0.0490485
371.303,-0.0415436
371.408,-0.0445695
371.513,-0.0622095
371.618,-0.0642499
371.726,-0.0758842
371.828,-0.0496022
371.933,-0.0422661
372.038,-0.0395313
372.143,-0.0616092
372.25,-0.0618019
372.353,-0.0413194
372.458,-0.0166938
372.563,-0.0234515
372.668,-0.0551775
372.778,-0.0866821
372.878,-0.0356246
372.983,-0.00878002
373.088,0.00164903
373.193,-0.0129197
373.298,-0.0221875
373.403,-0.0162085
373.508,-0.00794903
373.613,-0.0157794
373.718,-0.0117458
373.823,0.0266409
373.928,0.0493412
374.033,0.0422371
374.138,0.0118537
374.243,-0.0194673
374.348,-0.0264289
374.453,-0.0131007
374.558,0.00155875
374.663,0.0277803
374.768,0.0456744
374.878,0.0524209
374.978,0.0457704
375.083,0.0507345
375.188,0.0431076
375.293,0.0313853
375.398,0.044568
375.503,0.0592176
375.608,0.07182
375.713,0.0726006
375.818,0.07094
375.923,0.0663036
376.028,0.0584132
376.133,0.040638
376.238,0.0483413
376.343,0.0599999
376.448,0.0645953
376.553,0.0775187
376.658,0.081434
376.763,0.0798231
376.868,0.0718189
376.973,0.0673844
377.078,0.0519458
377.183,0.0287886
377.288,0.0209286
377.393,0.0174345
377.498,0.0197376
377.603,0.0217752
377.708,0.017066
377.813,0.00944644
377.918,-0.0136675
378.026,-0.0290259
378.128,-0.0137867
378.233,-0.0029115
378.338,-0.00724049
378.443,-0.0240467
378.55,-0.0708218
378.653,-0.0301316
378.758,0.0160083
378.863,0.0222031
378.968,0.0302289
379.074,0.0257305
379.178,0.0330319
379.283,0.053541
379.388,0.0538553
379.493,0.0392291
379.598,0.0247717
379.703,-0.0251716
379.808,-0.0218899
379.913,-0.00765483
380.018,-0.00177108
380.123,-0.0105665
380.228,-0.0117875
380.333,-0.00517157
380.438,-0.00656234
380.543,-0.000170948
380.648,0.0135138
380.753,0.022122
380.858,0.0152486
380.963,0.0188292
381.068,0.00516405
381.173,-0.0104998
381.278,-0.0217585
381.383,-0.0311525
381.488,-0.0214569
381.593,-0.0114896
381.698,-0.00414848
381.803,0.00663677
381.908,-0.0124219
382.013,-0.0137342
382.118,-0.00368249
382.223,0.00478331
382.328,0.0410556
382.433,0.0119333
382.539,-0.0129986
382.643,-0.0301916
382.748,-0.0413706
382.853,-0.0455358
382.958,-0.0544808
383.063,-0.0507838
383.168,-0.0561603
383.273,-0.0577019
383.378,-0.0479147
383.483,-0.0476237
383.588,-0.0592611
383.693,-0.058784
383.8,-0.0611002
383.903,-0.0554935
384.008,-0.0597012
384.113,-0.0615612
384.218,-0.0609908
384.326,-0.0711389
384.428,-0.0697794
384.533,-0.0824748
384.638,-0.0653583
384.743,-0.0680583
384.848,-0.0855188
384.953,-0.0755347
385.058,-0.0704555
385.163,-0.0698137
385.268,-0.06957
385.375,-0.0633791
385.478,-0.06042
385.583,-0.0689248
385.688,-0.0971598
385.793,-0.0884419
385.898,-0.0779782
386.003,-0.0639273
386.108,-0.0623184
386.213,-0.0893503
386.318,-0.0941642
386.423,-0.0706781
386.528,-0.0462799
386.633,0.000488348
386.738,-0.0325959
386.843,-0.0958989
386.948,-0.0837334
387.053,-0.104459
387.158,-0.117398
387.263,-0.069847
387.368,-0.0617823
387.473,-0.0574482
387.578,-0.0543304
387.683,-0.0920386
387.788,-0.086804
387.893,-0.0770158
387.998,-0.0643326
388.103,-0.0631914
388.208,-0.083306
388.313,-0.0628085
388.418,-0.0387753
388.523,-0.049874
388.628,-0.0620145
