#time, AccX[]
21.2242,-1.10689
21.2446,-1.16666
21.2634,-1.18872
21.2835,-1.1036
21.3034,-1.17143
21.3235,-1.24218
21.3434,-1.07178
21.3634,-1.11832
21.3836,-1.08564
21.4035,-1.03266
21.4235,-1.20131
21.4436,-1.12929
21.4633,-0.993134
21.4835,-1.16654
21.5035,-1.05165
21.5234,-1.07337
21.5437,-1.10539
21.5632,-1.16817
21.5835,-1.08337
21.6035,-1.03005
21.6234,-1.06885
21.6436,-1.12372
21.6632,-1.04882
21.6835,-0.955278
21.7034,-0.99497
21.7234,-1.15385
21.7435,-1.15362
21.7635,-0.989894
21.7835,-0.974816
21.8036,-1.06014
21.8234,-1.0614
21.8436,-1.02724
21.8633,-1.03594
21.8833,-0.986476
21.9034,-0.960106
21.9233,-0.834546
21.9434,-1.18114
21.9634,-0.964636
21.9836,-0.806153
22.0035,-0.861213
22.0234,-1.10843
22.0434,-0.986957
22.0633,-0.961345
22.0833,-0.925781
22.1034,-0.92591
22.1235,-1.09864
22.1435,-1.03043
22.1636,-1.02094
22.1837,-0.787947
22.2033,-0.719031
22.2235,-0.778613
22.2471,-1.06482
22.2645,-1.04226
22.2843,-0.81438
22.3044,-0.767881
22.326,-0.874541
22.3452,-0.994322
22.3647,-0.970704
22.3846,-0.800994
22.4043,-0.751974
22.4245,-0.739818
22.4442,-0.847925
22.4644,-1.60305
22.4843,-1.12377
22.5047,-0.320405
22.5244,-1.01731
22.5441,-1.10794
22.5648,-0.822447
22.5854,-0.969186
22.6046,-0.950092
22.6243,-0.852119
22.6442,-1.00821
22.6643,-0.944845
22.6851,-0.981466
22.7047,-0.971522
22.7244,-0.955635
22.7443,-0.935088
22.7647,-0.955392
22.7857,-0.984544
22.8047,-0.952745
22.8243,-0.978563
22.8443,-0.975701
22.8644,-0.965249
22.8853,-0.950376
22.9047,-0.973658
22.9244,-1.01376
22.9443,-0.889034
22.9645,-0.891541
22.9854,-0.974083
23.0046,-0.99013
23.0243,-0.936383
23.0443,-1.02225
23.0643,-0.94013
23.0853,-0.954106
23.1047,-0.954792
23.1245,-0.970228
23.1443,-0.89462
23.1646,-0.930944
23.1855,-0.978292
23.2047,-0.909764
23.2243,-0.94429
23.2444,-0.953652
23.2643,-0.946023
23.2853,-0.943189
23.3047,-0.933761
23.3245,-0.993231
23.3444,-0.979057
23.3648,-0.920418
23.3856,-0.976145
23.4046,-0.934395
23.4246,-0.946145
23.4443,-0.918817
23.4643,-0.97235
23.4852,-0.966839
23.5047,-0.991025
23.5244,-0.939065
23.5445,-0.896423
23.5646,-0.965711
23.5855,-0.920501
23.6045,-0.867775
23.6243,-0.934157
23.6442,-0.957471
23.6642,-0.998132
23.6853,-0.916899
23.7047,-0.890332
23.7243,-0.948782
23.7442,-0.962646
23.7646,-1.01919
23.7855,-0.983351
23.8047,-0.896538
23.8245,-0.898167
23.8443,-1.0317
23.8642,-0.983571
23.8852,-0.960616
23.9048,-1.00041
23.9244,-0.975037
23.9442,-0.948993
23.9646,-0.952606
23.9854,-0.891009
24.0048,-0.931884
24.0243,-0.928823
24.0441,-1.02383
24.0643,-0.980645
24.0851,-0.977437
24.1048,-0.937164
