#time, Temp[]
21.3047,0.57
21.4038,0.57
21.504,0.57
21.6039,0.57
21.704,0.57
21.8041,0.57
21.9039,0.57
22.0039,0.57
22.1041,0.57
22.2037,0.57
22.3051,0.57
22.405,0.57
22.5054,0.57
22.605,0.57
22.7052,0.57
22.8051,0.57
22.9052,0.57
23.0052,0.57
23.1053,0.57
23.2053,0.57
23.3056,0.57
23.4052,0.57
23.5054,0.57
23.6051,0.58
23.7053,0.58
23.8053,0.58
23.9054,0.58
24.0053,0.58
24.1054,0.58
24.2052,0.58
24.3054,0.58
24.4057,0.58
24.5055,0.58
24.6053,0.58
24.7054,0.58
24.8051,0.58
24.9054,0.58
25.005,0.58
25.1053,0.58
25.2052,0.58
25.3052,0.58
25.4052,0.58
25.5054,0.58
25.605,0.58
25.7053,0.58
25.8051,0.58
25.9053,0.58
26.0053,0.58
26.1053,0.58
26.2051,0.58
26.3052,0.58
26.4051,0.58
26.5053,0.58
26.6053,0.58
26.7052,0.58
26.8052,0.58
26.9053,0.58
27.0053,0.58
27.1052,0.58
27.2052,0.58
27.3052,0.58
27.4054,0.58
27.5054,0.58
27.6051,0.58
27.7052,0.58
27.8051,0.58
27.9053,0.58
28.0051,0.58
28.1052,0.58
28.2051,0.58
28.3054,0.58
28.4056,0.58
28.5055,0.58
28.6053,0.58
28.7054,0.58
28.8052,0.58
28.9054,0.58
29.0052,0.58
29.1053,0.58
29.2052,0.58
29.3054,0.58
29.4053,0.58
29.5053,0.58
29.6054,0.58
29.7055,0.58
29.8054,0.58
29.9052,0.58
30.0053,0.58
30.1053,0.58
30.2052,0.58
30.3052,0.58
30.4052,0.58
30.5053,0.58
30.6052,0.58
30.7057,0.58
30.8054,0.58
30.9055,0.58
31.0053,0.58
31.1056,0.58
31.2052,0.58
31.3056,0.58
31.4053,0.58
31.5055,0.58
31.6052,0.58
31.7056,0.58
31.8053,0.58
31.9055,0.58
32.0052,0.58
32.1054,0.58
32.2052,0.58
32.3056,0.58
32.4059,0.58
32.5056,0.58
32.6054,0.58
32.7055,0.59
32.8052,0.59
32.9055,0.59
33.0052,0.59
33.1054,0.59
33.2054,0.59
33.3056,0.59
33.4053,0.59
33.5055,0.59
33.6056,0.59
33.7053,0.59
33.8053,0.59
33.9054,0.59
34.0054,0.59
34.1054,0.59
34.2052,0.59
34.3054,0.59
34.4053,0.59
34.5054,0.59
34.6054,0.59
34.7054,0.59
34.8052,0.59
34.9052,0.59
35.0053,0.59
35.1053,0.59
35.2052,0.59
35.3052,0.59
35.4052,0.59
35.5053,0.59
35.6053,0.59
35.7052,0.59
35.8053,0.59
35.9052,0.59
36.0058,0.59
36.1052,0.59
36.2054,0.59
36.3052,0.59
36.4055,0.59
36.5053,0.59
36.6054,0.59
36.7052,0.59
36.8055,0.59
36.9052,0.59
37.0055,0.59
37.1052,0.59
37.2056,0.59
37.3053,0.59
37.4055,0.59
37.5052,0.59
37.6055,0.59
37.7053,0.59
37.8055,0.59
37.9053,0.59
38.0058,0.59
38.1052,0.59
38.2054,0.59
38.3053,0.59
38.4053,0.59
38.5051,0.59
38.6058,0.59
38.7057,0.59
38.8054,0.59
38.9053,0.59
39.0056,0.59
39.1054,0.59
39.2055,0.59
39.3052,0.59
39.4056,0.59
39.5054,0.59
39.6055,0.59
39.7053,0.59
39.8054,0.59
39.9052,0.59
40.0052,0.59
40.1052,0.59
40.2052,0.59
40.3052,0.59
40.4052,0.59
40.5051,0.59
