#time, AccY[]
27.0243,-0.620559
27.0442,-0.662256
27.0641,-0.662526
27.0851,-0.663807
27.1046,-0.668947
27.1244,-0.635225
27.1443,-0.613567
27.1648,-0.663954
27.1854,-0.671353
27.2047,-0.659809
27.2244,-0.626988
27.2443,-0.635103
27.2643,-0.661155
27.2851,-0.686195
27.3046,-0.656161
27.3244,-0.669636
27.3441,-0.690403
27.3648,-0.680025
27.3856,-0.691262
27.4048,-0.651605
27.4243,-0.569996
27.4441,-0.568261
27.4644,-0.517086
27.4854,-0.648955
27.5048,-0.636856
27.5246,-0.693517
27.5442,-0.685481
27.5648,-0.598983
27.5856,-0.601976
27.6047,-0.596938
27.6244,-0.666685
27.6442,-0.709758
27.6646,-0.661074
27.6852,-0.692745
27.7047,-0.718324
27.7243,-0.671549
27.7442,-0.644582
27.7647,-0.715306
27.7855,-0.612252
27.8047,-0.633815
27.8244,-0.626512
27.8443,-0.690543
27.8643,-0.607921
27.8854,-0.679233
27.9047,-0.67991
27.9244,-0.69908
27.9443,-0.688586
27.9647,-0.628742
27.9856,-0.570407
28.0046,-0.670678
28.0244,-0.652657
28.0443,-0.677408
28.0643,-0.622386
28.0852,-0.623492
28.1047,-0.690195
28.1243,-0.718401
28.1443,-0.604888
28.1647,-0.6448
28.1856,-0.651655
28.2046,-0.703073
28.2243,-0.582607
28.2443,-0.68555
28.2641,-0.736233
28.2853,-0.69567
28.3048,-0.661187
28.3244,-0.631384
28.3441,-0.70335
28.3647,-0.636009
28.3854,-0.663915
28.4046,-0.715858
28.4244,-0.685926
28.4442,-0.64462
28.4643,-0.653092
28.4852,-0.640122
28.5046,-0.665743
28.5246,-0.644658
28.5443,-0.579574
28.5649,-0.659267
28.5856,-0.570952
28.6048,-0.658268
28.6245,-0.615109
28.6442,-0.578911
28.6643,-0.658862
28.6854,-0.612679
28.7048,-0.639766
28.7244,-0.661896
28.7443,-0.677557
28.7647,-0.643848
28.7856,-0.53432
28.8047,-0.6084
28.8244,-0.632848
28.8443,-0.662919
28.8641,-0.682194
28.8852,-0.677403
28.9048,-0.654172
28.9245,-0.713964
28.9443,-0.6106
28.9647,-0.622739
28.9855,-0.637748
29.0048,-0.577634
29.0243,-0.673164
29.0442,-0.608076
29.0642,-0.62956
29.0851,-0.632145
29.1047,-0.69456
29.1244,-0.65114
29.1441,-0.574511
29.1647,-0.594512
29.1851,-0.639766
29.2047,-0.652469
29.2244,-0.635054
29.2443,-0.690931
29.2643,-0.5987
29.2851,-0.673423
29.3049,-0.697688
29.3245,-0.593181
29.3444,-0.559735
29.3645,-0.61625
29.3852,-0.630687
29.4047,-0.684919
29.4245,-0.665949
29.4442,-0.60714
29.4643,-0.622222
29.4851,-0.622451
29.5048,-0.752354
29.5244,-0.734121
29.5447,-0.676816
29.5646,-0.687241
29.5852,-0.683997
29.6049,-0.63671
29.6246,-0.596104
29.6442,-0.570669
29.6642,-0.586475
29.6852,-0.621068
29.705,-0.67449
29.7247,-0.648162
29.7447,-0.594764
29.7643,-0.609072
29.7851,-0.643651
29.8048,-0.665614
29.8244,-0.61896
29.8443,-0.60446
29.8642,-0.621764
29.8852,-0.66621
29.9047,-0.569144
29.9247,-0.609758
29.9445,-0.559411
29.9642,-0.520974
29.9853,-0.631279
30.0048,-0.605656
30.0245,-0.673214
30.0442,-0.594877
30.0642,-0.664966
30.0852,-0.631309
30.1046,-0.566233
30.1247,-0.595512
30.1443,-0.623918
30.1642,-0.579043
30.1853,-0.61184
30.2046,-0.679386
30.2246,-0.62632
30.2442,-0.668314
30.2642,-0.629195
30.2852,-0.721121
30.3046,-0.610465
30.325,-0.632948
30.3442,-0.693123
30.3641,-0.609816
30.3853,-0.642729
30.4046,-0.594278
30.4245,-0.592771
30.4442,-0.681878
30.4643,-0.670445
30.4852,-0.635658
30.5047,-0.647546
30.5249,-0.623555
30.5443,-0.728164
30.5643,-0.650777
30.5853,-0.673226
30.6047,-0.631266
