#time, Spd[]
46.9968,0
47.0968,0.0894427
47.1968,0.0921954
47.2968,0.116619
47.3968,0.222036
47.4968,0.04
47.5968,0.1
47.6968,0.0824621
47.7968,0.0781025
47.8968,0.10198
47.9968,0.0424264
48.0968,0.04
48.1968,0.0316228
48.2968,0.0282843
48.3968,0.0632455
48.4968,0.0583095
48.5968,0.0412311
48.6968,0.0728011
48.7968,0.05
48.8968,0.192094
48.9968,0.11
49.0968,0.0707107
49.1968,0.147648
49.2968,0.353553
49.3968,0.100499
49.4968,0.0509902
49.5968,0.0848528
49.6968,0.136015
49.7968,0.120416
49.8968,0.0984886
49.9968,0.067082
50.0968,0.0412311
50.1968,0.158114
50.2968,0.136015
50.3968,0.19105
50.4968,0.184391
50.5968,0.186815
50.6968,0.0223607
50.7968,0.203961
50.8968,0.152643
50.9968,0.158114
51.0968,0.231948
51.1968,0.134164
51.2968,0.186815
51.3968,0.431856
51.4968,0.460977
51.5968,0.208806
51.6968,0.170294
51.7968,0.0632455
51.8968,0.140357
51.9968,0.194165
52.0968,0.164012
52.1968,0.162788
52.2968,0.203961
52.3968,0.17
52.4968,0.138924
52.5968,0.133417
52.6968,0.152643
52.7968,1.36341
52.8968,0.240416
52.9968,0.294109
53.0968,0.543783
53.1968,0.355106
53.2968,0.448219
53.3968,0.474236
53.4968,0.442945
53.5968,0.680661
53.6968,0.371214
53.7968,0.510098
53.8968,0.280179
53.9968,0.184391
54.0968,0.257099
54.1968,0.42638
54.2968,0.212132
54.3968,0.104403
54.4968,0.0707107
54.5968,0.0984886
54.6968,0.0565685
54.7968,0.0640312
54.8968,0.0921954
54.9968,0.122066
55.0968,0.0860232
55.1968,0.02
55.2968,0.0894427
55.3968,0.107703
55.4968,0.1
55.5968,0.121655
55.6968,0.067082
55.7968,0.171172
55.8968,0.107703
55.9968,0.108167
56.0968,0.102956
56.1968,0.0860232
56.2968,0.138924
56.3968,0.447772
56.4968,0.104403
56.5968,0.072111
56.6968,0.161245
56.7968,0.072111
56.8968,0.122066
56.9968,0.05
57.0968,0.136015
57.1968,0.181108
57.2968,0.02
57.3968,0.072111
57.4968,0.106301
57.5968,0.164012
57.6968,0.04
57.7968,0.111803
57.8968,0.0282843
57.9968,0.0921954
58.0968,0.0424264
58.1968,0.0728011
58.2968,0.107703
58.3968,0.0360555
58.4968,0.106301
58.5968,0.219317
58.6968,0.2
58.7968,0.174929
58.8968,0.174642
58.9968,0.820366
59.0968,0.281603
59.1968,0.300832
59.2968,0.295466
59.3968,0.240208
59.4968,0.134164
59.5968,0.672012
59.6968,0.538238
59.7968,0.631348
59.8968,0.226716
59.9968,0.148661
60.0968,0.0728011
60.1968,0.0538516
60.2968,0.127279
60.3968,0.376962
60.4968,2.87117
60.5968,1.10259
60.6968,0.630079
60.7968,0.237697
60.8968,2.42161
60.9968,2.37023
61.0968,2.5296
61.1968,3.3339
61.2968,4.45138
61.3968,4.31539
61.4968,4.02016
61.5968,4.40614
61.6968,4.54802
61.7968,4.35992
61.8968,4.57739
61.9968,4.17647
62.0968,3.84104
62.1968,3.98128
62.2968,4.08883
62.3968,2.41133
62.4968,2.91431
62.5968,1.98003
62.6968,3.15057
62.7968,4.72631
62.8968,4.34005
62.9968,3.06139
63.0968,4.49324
63.1968,4.59
63.2968,3.8396
63.3968,0.15
63.4968,0.176918
63.5968,0.984327
63.6968,1.41792
63.7968,0.0223607
63.8968,0.17
63.9968,0.198494
64.0968,0.192354
64.1968,0.212132
64.2968,0.0141421
64.3968,0.208806
64.4968,0.161245
64.5968,0.13
64.6968,0.09
64.7968,1.01548
64.8968,0.938136
64.9968,1.12361
65.0968,1.4
65.1968,1.264
65.2968,1.39818
65.3968,1.37441
65.4968,1.19281
65.5968,0.339706
65.6968,0.568507
65.7968,0.295466
65.8968,0.815414
65.9968,2.26365
66.0968,2.08806
66.1968,1.91481
66.2968,1.78101
66.3968,1.8711
66.4968,0.513128
66.5968,1.0538
66.6968,2.89116
66.7968,0.882043
66.8968,4.51837
66.9968,5.07326
67.0968,4.93569
67.1968,4.94171
67.2968,4.90561
67.3968,4.35093
67.4968,4.81386
67.5968,2.96816
67.6968,6.44302
67.7968,4.82945
67.8968,2.91913
67.9968,2.91707
68.0968,5.05431
68.1968,5.44347
68.2968,5.53136
68.3968,1.30108
68.4968,2.34105
68.5968,2.63154
68.6968,2.8194
68.7968,5.11243
68.8968,6.9588
68.9968,8.19352
69.0968,9.65145
69.1968,10.9874
69.2968,11.6254
69.3968,10.709
69.4968,9.93227
69.5968,12.89
69.6968,13.5202
69.7968,12.7236
69.8968,13.2373
69.9968,15.6504
70.0968,15.1348
70.1968,16.003
70.2968,15.6281
70.3968,14.5531
70.4968,14.5738
70.5968,11.8382
70.6968,12.3562
70.7968,11.7099
70.8968,15.2006
70.9968,16.4619
71.0968,18.6376
71.1968,18.5681
71.2968,18.0607
71.3968,17.7688
71.4968,18.9053
71.5968,19.1246
71.6968,17.0636
71.7968,25.49
71.8968,28.7025
71.9968,34.8006
72.0968,40.0437
72.1968,43.0255
72.2968,45.0531
72.3968,47.6077
72.4968,50.7369
72.5968,53.3458
72.6968,54.6293
72.7968,56.3247
72.8968,57.6348
72.9968,59.3971
73.0968,60.4876
73.1968,61.821
73.2968,63.6023
73.3968,64.8094
73.4968,65.7049
73.5968,66.4491
73.6968,66.7674
73.7968,65.0487
73.8968,61.3571
73.9968,58.2758
74.0968,55.6384
74.1968,56.072
74.2968,55.3101
74.3968,54.4411
74.4968,53.3989
74.5968,51.7706
74.6968,51.6993
74.7968,29.6848
74.8968,30.1042
74.9968,32.2808
75.0968,34.5042
75.1968,36.134
75.2968,36.6204
75.3968,37.1432
75.4968,37.1276
75.5968,32.0023
75.6968,27.1562
75.7968,30.4293
75.8968,28.9435
75.9968,46.6874
76.0968,54.3965
76.1968,59.3329
76.2968,62.4745
76.3968,63.4144
76.4968,62.6565
76.5968,60.7465
76.6968,60.1823
76.7968,59.7999
76.8968,59.6137
76.9968,59.354
77.0968,59.3025
77.1968,59.1087
77.2968,59.0455
77.3968,60.7225
77.4968,55.3936
77.5968,52.8919
77.6968,50.3998
77.7968,42.7753
77.8968,39.5519
77.9968,36.3871
78.0968,35.528
78.1968,36.0433
78.2968,36.1411
78.3968,36.4655
78.4968,47.4473
78.5968,50.1446
78.6968,51.2403
78.7968,51.8987
78.8968,48.524
78.9968,45.8976
79.0968,44.4953
79.1968,42.9684
79.2968,40.6235
79.3968,41.0036
79.4968,31.4529
79.5968,24.7066
79.6968,19.4077
79.7968,15.6102
79.8968,15.2177
79.9968,14.7129
80.0968,16.3366
80.1968,20.1857
80.2968,23.7639
80.3968,24.2763
80.4968,25.2491
80.5968,26.7376
80.6968,27.2393
80.7968,27.526
80.8968,28.1415
80.9968,28.0066
81.0968,27.944
81.1968,23.628
81.2968,22.5412
81.3968,21.5819
81.4968,26.1943
81.5968,28.8111
81.6968,30.0167
81.7968,31.0023
81.8968,33.6208
81.9968,34.6579
82.0968,35.9796
82.1968,31.5308
82.2968,33.2124
82.3968,34.0608
82.4968,34.5711
82.5968,36.4047
82.6968,37.1398
82.7968,37.183
82.8968,35.8415
82.9968,35.5808
83.0968,35.5894
83.1968,35.3153
83.2968,35.5535
83.3968,35.3531
83.4968,35.4986
83.5968,34.9157
83.6968,34.5257
83.7968,35.4113
83.8968,35.8987
83.9968,35.8464
84.0968,37.5345
84.1968,38.4525
84.2968,37.7096
84.3968,36.3351
84.4968,41.4642
84.5968,41.5865
84.6968,41.3768
84.7968,43.2374
84.8968,42.0832
84.9968,41.7255
85.0968,40.4148
85.1968,39.6833
85.2968,39.9196
85.3968,39.7458
85.4968,42.4134
85.5968,41.7793
85.6968,41.8791
85.7968,40.3519
85.8968,39.891
85.9968,38.5273
86.0968,39.2409
86.1968,39.2886
86.2968,39.7639
86.3968,39.7928
