#time, Lat[]
46.9968,0
47.0968,48.0665
47.1968,48.0665
47.2968,48.0665
47.3968,48.0665
47.4968,48.0665
47.5968,48.0665
47.6968,48.0665
47.7968,48.0665
47.8968,48.0665
47.9968,48.0665
48.0968,48.0665
48.1968,48.0665
48.2968,48.0665
48.3968,48.0665
48.4968,48.0665
48.5968,48.0665
48.6968,48.0665
48.7968,48.0665
48.8968,48.0665
48.9968,48.0665
49.0968,48.0665
49.1968,48.0665
49.2968,48.0665
49.3968,48.0665
49.4968,48.0665
49.5968,48.0665
49.6968,48.0665
49.7968,48.0665
49.8968,48.0665
49.9968,48.0665
50.0968,48.0665
50.1968,48.0665
50.2968,48.0665
50.3968,48.0665
50.4968,48.0665
50.5968,48.0665
50.6968,48.0665
50.7968,48.0665
50.8968,48.0665
50.9968,48.0665
51.0968,48.0665
51.1968,48.0665
51.2968,48.0665
51.3968,48.0665
51.4968,48.0665
51.5968,48.0665
51.6968,48.0665
51.7968,48.0665
51.8968,48.0665
51.9968,48.0665
52.0968,48.0665
52.1968,48.0665
52.2968,48.0665
52.3968,48.0665
52.4968,48.0665
52.5968,48.0665
52.6968,48.0665
52.7968,48.0665
52.8968,48.0665
52.9968,48.0665
53.0968,48.0665
53.1968,48.0665
53.2968,48.0665
53.3968,48.0665
53.4968,48.0665
53.5968,48.0665
53.6968,48.0665
53.7968,48.0665
53.8968,48.0665
53.9968,48.0665
54.0968,48.0665
54.1968,48.0665
54.2968,48.0665
54.3968,48.0665
54.4968,48.0665
54.5968,48.0665
54.6968,48.0665
54.7968,48.0665
54.8968,48.0665
54.9968,48.0665
55.0968,48.0665
55.1968,48.0665
55.2968,48.0665
55.3968,48.0665
55.4968,48.0665
55.5968,48.0665
55.6968,48.0665
55.7968,48.0665
55.8968,48.0665
55.9968,48.0665
56.0968,48.0665
56.1968,48.0665
56.2968,48.0665
56.3968,48.0665
56.4968,48.0665
56.5968,48.0665
56.6968,48.0665
56.7968,48.0665
56.8968,48.0665
56.9968,48.0665
57.0968,48.0665
57.1968,48.0665
57.2968,48.0665
57.3968,48.0665
57.4968,48.0665
57.5968,48.0665
57.6968,48.0665
57.7968,48.0665
57.8968,48.0665
57.9968,48.0665
58.0968,48.0665
58.1968,48.0665
58.2968,48.0665
58.3968,48.0665
58.4968,48.0665
58.5968,48.0665
58.6968,48.0665
58.7968,48.0665
58.8968,48.0665
58.9968,48.0665
59.0968,48.0665
59.1968,48.0665
59.2968,48.0665
59.3968,48.0665
59.4968,48.0665
59.5968,48.0665
59.6968,48.0665
59.7968,48.0665
59.8968,48.0665
59.9968,48.0665
60.0968,48.0665
60.1968,48.0665
60.2968,48.0665
60.3968,48.0665
60.4968,48.0665
60.5968,48.0665
60.6968,48.0665
60.7968,48.0665
60.8968,48.0665
60.9968,48.0665
61.0968,48.0665
61.1968,48.0665
61.2968,48.0665
61.3968,48.0665
61.4968,48.0665
61.5968,48.0666
61.6968,48.0666
61.7968,48.0666
61.8968,48.0666
61.9968,48.0666
62.0968,48.0666
62.1968,48.0666
62.2968,48.0666
62.3968,48.0666
62.4968,48.0666
62.5968,48.0666
62.6968,48.0666
62.7968,48.0666
62.8968,48.0667
62.9968,48.0667
63.0968,48.0667
63.1968,48.0667
63.2968,48.0667
63.3968,48.0667
63.4968,48.0667
63.5968,48.0667
63.6968,48.0667
63.7968,48.0667
63.8968,48.0667
63.9968,48.0667
64.0968,48.0667
64.1968,48.0667
64.2968,48.0667
64.3968,48.0667
64.4968,48.0667
64.5968,48.0667
64.6968,48.0667
64.7968,48.0667
64.8968,48.0667
64.9968,48.0667
65.0968,48.0667
65.1968,48.0667
65.2968,48.0667
65.3968,48.0667
65.4968,48.0667
65.5968,48.0667
65.6968,48.0667
65.7968,48.0667
65.8968,48.0667
65.9968,48.0667
66.0968,48.0667
66.1968,48.0667
66.2968,48.0667
66.3968,48.0667
66.4968,48.0667
66.5968,48.0667
66.6968,48.0667
66.7968,48.0667
66.8968,48.0667
66.9968,48.0667
67.0968,48.0667
67.1968,48.0667
67.2968,48.0667
67.3968,48.0667
67.4968,48.0667
67.5968,48.0666
67.6968,48.0666
67.7968,48.0666
67.8968,48.0666
67.9968,48.0666
68.0968,48.0666
68.1968,48.0666
68.2968,48.0666
68.3968,48.0666
68.4968,48.0666
68.5968,48.0666
68.6968,48.0666
68.7968,48.0666
68.8968,48.0666
68.9968,48.0666
69.0968,48.0666
69.1968,48.0665
69.2968,48.0665
69.3968,48.0665
69.4968,48.0665
69.5968,48.0665
69.6968,48.0665
69.7968,48.0665
69.8968,48.0665
69.9968,48.0665
70.0968,48.0665
70.1968,48.0664
70.2968,48.0664
70.3968,48.0664
70.4968,48.0664
70.5968,48.0664
70.6968,48.0664
