#time, accX[]
58.3731,-0.632285
58.4781,-0.63468
58.5831,-0.627495
58.6881,-0.62031
58.7931,-0.637075
58.8981,-0.60594
59.0031,-0.376018
59.1081,-0.443079
59.2131,-0.64426
59.3181,-0.64905
59.4231,-0.651445
59.5281,-0.65863
59.6331,-0.673001
59.7381,-0.668211
59.8431,-0.668211
59.9481,-0.646655
60.0531,-0.65863
60.1581,-0.646655
60.2631,-0.668211
60.3681,-0.701741
60.4731,-0.5772
60.5781,-0.64905
60.6831,-0.668211
60.7881,-0.65863
60.8931,-0.665815
60.9981,-0.66342
61.1031,-0.66342
61.2081,-0.63947
61.3131,-0.651445
61.4181,-0.673001
61.5231,-0.692161
61.6281,-0.656235
61.7331,-0.656235
61.8381,-0.651445
61.9431,-0.646655
62.0481,-0.60594
62.1531,-0.675396
62.2581,-0.498164
62.3631,-0.63947
62.4681,-0.684976
62.5731,-0.716111
62.6781,-0.684976
62.7831,-0.64905
62.8881,-0.64905
62.9931,-0.65863
63.0981,-0.64426
63.2031,-0.651445
63.3081,-0.66342
63.4131,-0.66342
63.5181,-0.65863
63.6231,-0.651445
63.7281,-0.65384
63.8331,-0.637075
63.9381,-0.661025
64.0431,-0.651445
64.1481,-0.713716
64.2531,-0.682581
64.3581,-0.728086
64.4631,-0.62989
64.5681,-0.58678
64.6731,-0.675396
64.7781,-1.03704
64.8831,-0.783171
64.9881,-0.881367
65.0931,-0.65863
65.1981,-0.802332
65.3031,-0.941243
65.4081,-0.749641
65.5131,-0.720901
65.6181,-0.716111
65.7231,-1.00112
65.8281,-0.749641
65.9331,-0.541274
66.0381,-0.328118
66.1431,0.241897
66.2481,0.438289
66.3531,1.04902
66.4581,0.989143
66.5631,0.771196
66.6681,0.493374
66.7731,0.347278
66.8781,0.467029
66.9831,0.0886157
67.0881,-0.380808
67.1931,0.560435
67.2981,0.661025
67.4031,0.0407153
67.5081,0.335303
67.6131,-0.0215552
67.7181,-0.0215552
67.8231,-0.0311353
67.9281,-0.371228
68.0331,0.146096
68.1381,-0.0359253
68.2431,-0.165256
68.3481,0.407153
68.4531,-0.0598755
68.5581,-0.399968
68.6631,0.227527
68.7681,0.0215552
68.8731,0.196392
68.9781,0.251477
69.0831,-0.00718506
69.1881,0.215552
69.2931,0.423918
69.3981,0.0598755
69.5031,0.328118
69.6081,-0.0550855
69.7131,-0.919688
69.8181,-0.349673
69.9231,-0.220342
70.0281,0.158071
70.1331,0.270637
70.2381,0.234712
70.3431,0.134121
70.4481,0.534089
70.5531,0.112566
70.6581,-0.153281
70.7631,0.172441
70.8681,-0.301772
70.9731,-0.217947
71.0781,-0.165256
71.1831,0.495769
71.2881,0.193997
71.3931,0.0287402
71.4981,0.167651
71.6031,0.227527
71.7081,0.301772
71.8131,0.534089
71.9181,0.335303
72.0231,0.280217
72.1281,0.58199
72.2331,0.467029
72.3381,0.409548
72.4431,0.402363
72.5481,0.349673
72.6531,0.517324
72.7581,0.0479004
72.8631,-0.0742456
72.9681,0.0574805
73.0731,0.241897
73.1781,0.249082
73.2831,-0.0287402
73.3881,0.201182
73.4931,0.110171
73.5981,-0.0862207
73.7031,-0.570015
73.8081,0.359253
73.9131,-0.538879
74.0181,0.102986
74.1231,0.0335303
74.2281,0.0431104
74.3331,-0.0215552
74.4381,-0.201182
74.5431,-0.457449
74.6481,-0.162861
74.7531,-0.498164
74.8581,-0.165256
74.9631,0.0167651
75.0681,-0.0526904
75.1731,-0.126936
75.2781,0.296982
75.3831,-0.366438
75.4881,-0.0287402
75.5931,-0.399968
75.6981,0.215552
75.8031,0.500559
75.9081,-0.0479004
76.0131,0.205972
76.1181,0.160466
76.2231,0.771196
76.3281,0.0550855
76.4331,0.0718506
76.5381,-0.0191602
76.6431,-0.0574805
76.7481,-0.0287402
76.8531,0.203577
76.9581,-0.0455054
77.0631,0.102986
77.1681,-0.337698
77.2731,0.332908
77.3781,0.0574805
77.4831,0.239502
77.5881,-0.0622705
77.6931,-0.241897
77.7981,0.258662
77.9031,-0.225132
78.0081,0.241897
78.1131,-0.337698
78.2181,0.0215552
78.3231,0.225132
78.4281,0.241897
78.5331,0.256267
78.6381,0.268242
78.7431,0.756826
78.8481,0.459844
78.9531,0.469424
79.0581,0.112566
79.1631,0.661025
79.2681,0.404758
79.3731,0.536484
79.4781,0.493374
79.5831,1.03944
79.6881,0.787961
79.7931,0.843047
79.8981,0.977168
80.0031,1.92081
80.1081,1.11847
80.2131,1.16877
80.3181,1.05141
80.4231,1.12566
80.5281,1.17595
80.6331,1.06339
80.7381,1.06818
80.8431,0.926873
80.9481,1.28373
81.0531,1.33882
81.1581,1.24062
81.2631,1.80105
81.3681,0.416733
81.4731,1.12326
81.5781,1.23104
81.6831,1.60227
81.7881,-0.102986
81.8931,1.19032
81.9981,0.929268
82.1031,1.53521
82.2081,1.38193
82.3131,1.31487
82.4181,1.65496
82.5231,1.73639
82.6281,0.320933
82.7331,0.974773
82.8381,1.28613
82.9431,1.49928
83.0481,1.13284
83.1531,1.08494
83.2581,0.991538
83.3631,1.17595
83.4681,1.18553
83.5731,1.22386
83.6781,0.783171
83.7831,0.706531
83.8881,0.771196
83.9931,1.01788
84.0981,-0.141306
84.2031,0.6251
84.3081,1.09931
84.4131,0.486189
84.5181,0.974773
84.6231,0.835862
84.7281,1.08015
84.8331,0.840652
84.9381,0.869392
85.0431,0.905317
85.1481,0.902922
85.2531,0.821492
85.3581,0.565225
85.4631,1.40109
85.5681,1.07776
85.6731,1.94476
85.7781,1.19511
85.8831,0.725691
85.9881,0.735271
86.0931,0.651445
86.1981,1.36756
86.3031,0.747246
86.4081,1.20469
86.5131,1.00591
86.6181,1.03704
86.7231,0.835862
86.8281,0.941243
86.9331,0.0694556
87.0381,0.0934058
87.1431,-0.227527
87.2481,0.752036
87.3531,1.01788
87.4581,-0.179626
87.5631,0.692161
87.6681,0.208367
87.7731,0.364043
87.8781,0.60115
87.9831,0.495769
88.0881,0.493374
88.1931,0.344883
88.2981,0.687371
88.4031,0.265847
88.5081,-0.469424
88.6131,-0.191602
88.7181,0.222737
88.8231,-0.256267
88.9281,-0.268242
89.0331,0.229922
89.1381,0.57241
89.2431,0.888552
89.3481,0.390388
89.4531,0.0167651
89.5581,-0.186812
89.6631,-0.0287402
89.7681,0.352068
89.8731,0.900527
89.9781,0.210762
90.0831,0.675396
90.1881,-0.0215552
90.2931,0.328118
90.3982,0.210762
90.5031,-0.102986
90.6081,-0.0886157
90.7131,0.107776
90.8181,-0.0646655
90.9231,-0.189207
91.0281,-1.43941
91.1331,-0.313748
91.2381,-0.423918
91.3431,-0.60594
91.4481,-0.529299
91.5531,-0.332908
91.6581,-0.62031
91.7631,-0.479004
91.8681,-0.797542
91.9731,-0.560435
92.0781,-0.0694556
92.1831,-0.414338
92.2881,-0.991538
92.3931,-0.720901
92.4981,-0.584385
92.6031,-0.744851
92.7081,-0.680186
92.8131,0.174836
92.9181,-1.94476
93.0231,-0.469424
93.1281,-0.819097
93.2331,-1.13524
93.3381,-1.45617
93.4431,-1.02267
93.5481,-0.974773
93.6531,-1.76273
93.7581,-0.641865
93.8631,-1.11608
93.9681,-1.36756
94.0731,-1.43701
94.1781,-1.56874
94.2831,-0.859812
94.3881,-1.65256
94.4931,-0.802332
94.5981,-1.66933
94.7031,-0.876577
94.8081,-0.821492
94.9131,-0.967588
95.0181,-0.958008
95.1231,-0.965193
95.2281,-0.955613
95.3331,-0.938848
95.4381,-0.958008
95.5431,-0.962798
95.6481,-0.938848
95.7531,-0.955613
95.8581,-0.946033
95.9631,-0.958008
96.0681,-0.948428
96.1731,-0.948428
96.2781,-0.936453
96.3831,-0.931663
96.4881,-0.953218
96.5931,-0.919688
96.6981,-0.946033
96.8031,-0.941243
96.9081,-0.936453
97.0131,-0.931663
97.1181,-0.931663
97.2231,-0.955613
97.3281,-0.929268
97.4331,-0.950823
97.5381,-0.936453
97.6431,-0.941243
97.7481,-0.929268
97.8531,-0.926873
97.9581,-0.938848
98.0631,-0.950823
98.1681,-0.926873
98.2731,-0.934058
98.3781,-0.929268
98.4831,-0.941243
98.5881,-0.931663
98.6931,-0.934058
98.7981,-0.934058
98.9031,-0.948428
99.0081,-0.948428
99.1131,-0.941243
99.2181,-0.941243
99.3231,-0.926873
99.4281,-0.934058
99.5331,-0.934058
99.6381,-0.943638
99.7431,-0.934058
