#time, pitch[]
27.9021,0.0103848
28.0071,0.00469184
28.1121,0.000537992
28.2171,-0.00291121
28.3221,-0.00594187
28.4271,-0.00973535
28.5321,-0.011686
28.6371,-0.0122124
28.7421,-0.0151966
28.8471,-0.0176005
28.9521,-0.0196228
29.0571,-0.0211704
29.1621,-0.0225725
29.2671,-0.0243993
29.3721,-0.0239538
29.4771,-0.0242529
29.5821,-0.0261778
29.6871,-0.0281589
29.7921,-0.0301229
29.8971,-0.0307006
30.0021,-0.0352795
30.1071,-0.0351752
30.2121,-0.0357813
30.3171,-0.0370716
30.4221,-0.038536
30.5271,-0.0386474
30.6321,-0.0404162
30.7371,-0.0426298
30.8421,-0.0456761
30.9471,-0.0469096
31.0521,-0.0478845
31.1571,-0.0488695
31.2621,-0.0497578
31.3671,-0.050588
31.4721,-0.0513195
31.5771,-0.0521826
31.6821,-0.0529697
31.7871,-0.0535959
31.8921,-0.0543715
31.9971,-0.0548036
32.1021,-0.0556179
32.2071,-0.0556209
32.3121,-0.0564578
32.4171,-0.056591
32.5221,-0.0566367
32.6271,-0.0569599
32.7321,-0.0575714
32.8371,-0.058248
32.9421,-0.0585459
33.0471,-0.0593333
33.1521,-0.059697
33.2571,-0.059942
33.3621,-0.0603944
33.4671,-0.06078
33.5721,-0.0599016
33.6771,-0.0598483
33.7821,-0.0608925
33.8871,-0.0611843
33.9921,-0.0613953
34.0971,-0.0612503
34.2021,-0.0613533
34.3071,-0.0618368
34.4121,-0.0625347
34.5171,-0.0615721
34.6221,-0.0615008
34.7271,-0.0620991
34.8321,-0.0617493
34.9371,-0.0611014
35.0421,-0.060925
35.1471,-0.0605588
35.2521,-0.0614165
35.3571,-0.0622129
35.4621,-0.0624548
35.5671,-0.0626034
35.6721,-0.0628794
35.7771,-0.0625583
35.8821,-0.0637296
35.9871,-0.064963
36.0921,-0.0648242
36.1971,-0.0645916
36.3021,-0.0654165
36.4071,-0.0673376
36.5121,-0.0682783
36.6171,-0.0666569
36.7221,-0.0671463
36.8271,-0.0672383
36.9321,-0.067071
37.0371,-0.0677407
37.1421,-0.0674272
37.2471,-0.0684832
37.3521,-0.0685251
37.4571,-0.0687279
37.5621,-0.0690708
37.6671,-0.0702492
37.7721,-0.0701995
37.8771,-0.0715245
37.9821,-0.0712944
38.0871,-0.0709213
38.1921,-0.071334
38.2971,-0.0729805
38.4021,-0.0728463
38.5071,-0.0720919
38.6121,-0.0717092
38.7171,-0.0691651
38.8221,-0.0686148
38.9271,-0.0661492
39.0321,-0.0671843
39.1581,-0.0676074
39.2631,-0.0672667
39.3681,-0.06652
39.4731,-0.0666656
39.5781,-0.0657355
39.6831,-0.0634453
39.7881,-0.0634049
39.8931,-0.0633625
39.9981,-0.0654469
40.1031,-0.0658318
40.2081,-0.06697
40.3131,-0.0663856
40.4181,-0.0665867
40.5231,-0.0685483
40.6281,-0.0686222
40.7331,-0.0698115
40.8381,-0.0675988
40.9431,-0.0652194
41.0481,-0.0654773
41.1531,-0.0681775
41.2581,-0.0700632
41.3631,-0.0705125
41.4681,-0.0675477
41.5731,-0.0674826
41.6781,-0.0669374
41.7831,-0.0643078
41.8881,-0.0607382
41.9931,-0.0589409
42.0981,-0.059033
42.2031,-0.0577825
42.3081,-0.0583979
42.4131,-0.0601839
42.5181,-0.0644344
42.6231,-0.0640134
42.7281,-0.0642866
42.8331,-0.062517
42.9381,-0.0605161
