time;accX;accY;accZ;gyroX;gyroY;gyroZ;alt;lat;lon;EleL;EleR
259.562000;-0.493899;-0.617664;-16.565131;-0.932127;0.385494;-0.269725;649.087000;48.066600;11.644100;-0.146039;0.086633
259.582000;-0.600191;-0.564746;-16.157760;-0.719480;0.446772;-0.124849;649.087000;48.066600;11.644100;-0.151353;0.091243
259.602000;-0.706484;-0.511827;-15.750389;-0.506833;0.508050;0.020027;649.087000;48.066600;11.644100;-0.156667;0.095853
259.622000;-0.812776;-0.458909;-15.343017;-0.294186;0.569328;0.164903;649.087000;48.066600;11.644100;-0.161981;0.100463
259.642000;-0.919069;-0.405990;-14.935646;-0.081538;0.630606;0.309779;649.087000;48.066600;11.644100;-0.167295;0.105073
259.662000;-1.025361;-0.353072;-14.528274;0.131109;0.691884;0.454655;649.087000;48.066600;11.644100;-0.172609;0.109683
259.682000;-0.961586;-0.314386;-15.208095;0.328172;0.651059;0.507492;649.087000;48.066600;11.644100;-0.170918;0.106167
259.702000;-0.855293;-0.279259;-16.159714;0.521340;0.584708;0.537319;649.087000;48.066600;11.644100;-0.166892;0.099941
259.722000;-0.749001;-0.244132;-17.111333;0.714508;0.518358;0.567147;649.087000;48.066600;11.644100;-0.162867;0.093716
259.742000;-0.642708;-0.209005;-18.062952;0.907676;0.452007;0.596974;649.087000;48.066600;11.644100;-0.158841;0.087490
259.762000;-0.536416;-0.173878;-19.014571;1.100844;0.385656;0.626802;649.087000;48.066600;11.644100;-0.154816;0.081265
259.782000;-0.517438;-0.147282;-19.261143;1.208751;0.364280;0.617793;649.087000;48.066600;11.644100;-0.149093;0.075419
259.802000;-0.569901;-0.127666;-18.930857;1.246897;0.379700;0.577008;649.087000;48.066600;11.644100;-0.141673;0.069953
259.822000;-0.622363;-0.108049;-18.600571;1.285044;0.395121;0.536224;649.087000;48.066600;11.644100;-0.134253;0.064488
259.842000;-0.674825;-0.088433;-18.270286;1.323191;0.410542;0.495439;649.087000;48.066600;11.644100;-0.126834;0.059022
259.862000;-0.727287;-0.068817;-17.940000;1.361337;0.425963;0.454655;649.087000;48.066600;11.644100;-0.119414;0.053556
259.882000;-0.761958;-0.051117;-17.720703;1.376170;0.432132;0.408453;649.087000;48.066600;11.644100;-0.113069;0.048885
259.902000;-0.755115;-0.037887;-17.760379;1.336602;0.416711;0.349610;649.087000;48.066600;11.644100;-0.109948;0.046595
259.922000;-0.748272;-0.024657;-17.800055;1.297034;0.401290;0.290767;649.087000;48.066600;11.644100;-0.106827;0.044306
259.942000;-0.741430;-0.011428;-17.839731;1.257467;0.385869;0.231923;649.087000;48.066600;11.644100;-0.103706;0.042017
259.962000;-0.734587;0.001802;-17.879408;1.217899;0.370448;0.173080;649.087000;48.066600;11.644100;-0.100585;0.039727
259.982000;-0.730276;0.013663;-17.928779;1.179671;0.359410;0.114846;649.087000;48.066600;11.644100;-0.097464;0.037438
260.002000;-0.774070;-0.000479;-18.162360;1.166888;0.431645;0.068177;649.087000;48.066600;11.644100;-0.096601;0.034298
260.022000;-0.817865;-0.014621;-18.395941;1.154105;0.503880;0.021508;649.087000;48.066600;11.644100;-0.095737;0.031158
260.042000;-0.861660;-0.028763;-18.629522;1.141322;0.576115;-0.025161;649.087000;48.066600;11.644100;-0.094874;0.028018
260.062000;-0.905454;-0.042905;-18.863103;1.128539;0.648350;-0.071829;649.087000;48.066600;11.644100;-0.094011;0.024878
260.082000;-0.949249;-0.057047;-19.096684;1.115757;0.720585;-0.118498;649.087000;48.066600;11.644100;-0.093147;0.021738
260.102000;-1.001073;-0.104765;-18.921869;1.000384;0.722695;-0.115982;649.087000;48.066600;11.644100;-0.097154;0.022229
260.122000;-1.054904;-0.160877;-18.644954;0.859363;0.707274;-0.101170;649.087000;48.066600;11.644100;-0.102784;0.023929
260.142000;-1.108734;-0.216989;-18.368040;0.718343;0.691853;-0.086358;649.087000;48.066600;11.644100;-0.108413;0.025630
260.162000;-1.162565;-0.273101;-18.091126;0.577323;0.676432;-0.071545;649.087000;48.066600;11.644100;-0.114043;0.027330
260.182000;-1.216396;-0.329213;-17.814211;0.436302;0.661011;-0.056733;649.087000;48.066600;11.644100;-0.119673;0.029031
260.202000;-1.236354;-0.350198;-17.801758;0.375298;0.644028;-0.019489;649.087000;48.066600;11.644100;-0.124932;0.031283
260.222000;-1.228598;-0.342442;-18.005682;0.379762;0.625767;0.036107;649.087000;48.066600;11.644100;-0.129819;0.034088
