#time, lon[]
27.9021,11.6443
28.0071,11.6443
28.1121,11.6443
28.2171,11.6443
28.3221,11.6443
28.4271,11.6442
28.5321,11.6442
28.6371,11.6442
28.7421,11.6442
28.8471,11.6442
28.9521,11.6442
29.0571,11.6442
29.1621,11.6442
29.2671,11.6442
29.3721,11.6442
29.4771,11.6442
29.5821,11.6442
29.6871,11.6442
29.7921,11.6442
29.8971,11.6442
30.0021,11.6442
30.1071,11.6442
30.2121,11.6442
30.3171,11.6442
30.4221,11.6442
30.5271,11.6442
30.6321,11.6442
30.7371,11.6442
30.8421,11.6442
30.9471,11.6442
31.0521,11.6442
31.1571,11.6442
31.2621,11.6442
31.3671,11.6442
31.4721,11.6442
31.5771,11.6442
31.6821,11.6442
31.7871,11.6442
31.8921,11.6442
31.9971,11.6442
32.1021,11.6442
32.2071,11.6442
32.3121,11.6442
32.4171,11.6441
32.5221,11.6441
32.6271,11.6441
32.7321,11.6441
32.8371,11.6441
32.9437,11.6441
33.0471,11.6441
33.1521,11.6441
33.2571,11.6441
33.3621,11.6441
33.4671,11.6442
33.5721,11.6442
33.6771,11.6442
33.7821,11.6442
33.8871,11.6442
33.9921,11.6442
34.0971,11.6442
34.2021,11.6442
34.3071,11.6442
34.4121,11.6441
34.5171,11.6441
34.6221,11.6441
34.7271,11.6441
34.8321,11.6441
34.9371,11.6441
35.0421,11.6441
35.1471,11.6441
35.2521,11.6441
35.3571,11.6441
35.4621,11.6442
35.5671,11.6442
35.6721,11.6442
35.7771,11.6442
35.8821,11.6442
35.9871,11.6442
36.0921,11.6442
36.1971,11.6442
36.3021,11.6442
36.4071,11.6442
36.5121,11.6442
36.6171,11.6442
36.7221,11.6442
36.8271,11.6442
36.9321,11.6442
37.0371,11.6442
37.1421,11.6442
37.2471,11.6442
37.3521,11.6442
37.4571,11.6441
37.5621,11.6441
37.6671,11.6441
37.7721,11.6441
37.8771,11.6441
37.9821,11.6441
38.0871,11.6441
38.1937,11.6441
38.2971,11.6441
38.4021,11.6441
38.5071,11.6441
38.6121,11.6441
38.7171,11.6441
38.8221,11.6441
38.9271,11.6441
39.0321,11.6441
39.1581,11.6441
39.2631,11.6441
39.3681,11.6441
39.4731,11.6441
39.5781,11.6441
39.6831,11.6441
39.7881,11.6441
39.8931,11.6441
39.9981,11.6441
40.1031,11.6441
40.2081,11.6441
40.3131,11.6441
40.4181,11.6441
40.5231,11.6441
40.6281,11.6441
40.7331,11.6441
40.8381,11.6441
40.9431,11.6441
41.0481,11.6441
41.1531,11.6441
41.2581,11.6441
41.3631,11.6441
41.4681,11.6441
41.5731,11.6441
41.6781,11.6441
41.7831,11.6441
41.8881,11.6441
41.9931,11.6441
42.0981,11.6441
42.2031,11.6441
42.3081,11.6441
42.4131,11.6441
42.5181,11.6441
42.6231,11.6441
42.7281,11.6441
42.8331,11.6441
42.9381,11.6441
43.0431,11.6441
43.1481,11.6441
43.2531,11.6441
43.3598,11.6441
43.4631,11.6441
43.5681,11.6441
43.6731,11.6441
43.7781,11.6441
43.8831,11.6441
43.9881,11.6441
44.0931,11.6441
44.1981,11.6441
44.3031,11.6441
44.4081,11.6441
44.5131,11.6441
44.6181,11.6441
44.7231,11.6441
44.8281,11.6441
44.9331,11.6441
45.0381,11.6441
45.1431,11.6441
45.2481,11.6441
45.3531,11.6441
45.4581,11.6441
45.5631,11.6441
45.6681,11.6441
45.7731,11.6441
45.8781,11.6441
45.9831,11.6441
46.0881,11.6441
46.1931,11.6441
46.2981,11.6441
46.4031,11.6441
46.5081,11.6441
46.6131,11.6441
46.7181,11.6441
46.8231,11.6441
46.9281,11.6441
47.0331,11.6441
47.1381,11.6441
47.2431,11.6441
47.3481,11.6441
47.4531,11.6441
47.5581,11.6441
47.6631,11.6441
47.7681,11.6441
47.8731,11.6441
47.9781,11.6441
48.0831,11.6441
48.1881,11.6441
48.2931,11.6441
48.3981,11.6441
48.5031,11.6441
48.6098,11.6441
48.7131,11.6441
48.8181,11.6441
48.9231,11.6441
49.0281,11.6441
49.1331,11.6441
49.2381,11.6441
49.3431,11.6441
49.4481,11.6441
49.5531,11.6441
49.6581,11.6441
49.7631,11.6441
49.8681,11.6441
49.9731,11.6441
50.0781,11.6441
50.1831,11.6441
50.2881,11.6441
50.3931,11.6441
50.4981,11.6441
50.6031,11.6441
50.7081,11.6441
50.8131,11.6441
50.9181,11.6441
51.0231,11.6441
51.1281,11.6441
51.2331,11.6441
51.3381,11.6441
51.4431,11.6441
51.5481,11.6441
51.6531,11.6441
51.7581,11.6441
51.8631,11.6441
51.9681,11.6441
52.0731,11.6441
52.1781,11.6441
52.2831,11.6441
52.3882,11.6441
52.4931,11.6441
52.5981,11.6441
52.7031,11.6441
52.8081,11.6441
52.9131,11.6441
53.0181,11.6441
53.1231,11.6441
53.2281,11.6441
53.3331,11.6441
53.4381,11.6441
53.5431,11.6441
53.6481,11.6441
53.7531,11.6441
53.8679,11.6441
53.9631,11.6441
54.0681,11.6441
54.1731,11.6441
54.2781,11.6441
54.3831,11.6441
54.4881,11.6441
54.5931,11.6441
54.6981,11.6441
54.8031,11.6441
54.9081,11.6441
55.0131,11.6441
55.1181,11.6441
55.2231,11.6441
55.3281,11.6441
55.4331,11.6441
55.5381,11.6441
55.6431,11.6441
55.7481,11.6441
55.8531,11.6441
55.9581,11.6441
56.0631,11.6441
56.1681,11.6441
56.2731,11.6441
56.3781,11.6441
56.4831,11.6441
56.5881,11.6441
56.6931,11.6441
56.7981,11.6441
56.9031,11.6441
57.0081,11.6441
57.1131,11.6441
57.2181,11.6441
57.3231,11.6441
57.4281,11.6441
57.5331,11.6441
57.6381,11.6441
57.7431,11.6441
57.8481,11.6441
57.9531,11.6441
58.0581,11.6441
58.1631,11.6441
58.2681,11.6441
58.3731,11.6441
58.4781,11.6441
58.5831,11.6441
58.6881,11.6441
58.7931,11.6441
58.8981,11.6441
59.0031,11.6441
59.1179,11.6441
59.2131,11.6441
59.3181,11.6441
59.4231,11.6441
59.5281,11.6441
59.6331,11.6441
59.7381,11.6441
59.8431,11.6441
59.9481,11.6441
60.0531,11.6441
60.1581,11.6441
