#time, accX[]
27.9011,-1.50647
28.0061,-1.76513
28.1111,-1.62622
28.2161,-1.7316
28.3211,-1.38911
28.4261,-1.62143
28.5311,-1.14961
28.6361,-1.69567
28.7411,-1.9256
28.8461,-1.63819
28.9511,-1.27415
29.0561,-1.54718
29.1611,-1.73878
29.2661,-1.67412
29.3711,-1.71004
29.4761,-1.59748
29.5811,-1.63819
29.6861,-1.62382
29.7911,-1.61903
29.8961,-1.82021
30.0011,-1.66454
30.1061,-1.61664
30.2111,-1.66933
30.3161,-1.66933
30.4211,-1.69088
30.5261,-1.57113
30.6311,-1.54479
30.7361,-1.59508
30.8411,-1.64538
30.9461,-1.61185
31.0511,-1.57832
31.1561,-1.69088
31.2611,-1.65256
31.3661,-1.67172
31.4711,-1.66693
31.5761,-1.68609
31.6811,-1.66214
31.7861,-1.55197
31.8911,-1.64298
31.9961,-1.66454
32.1011,-1.60227
32.2061,-1.71244
32.3111,-1.8274
32.4161,-1.7292
32.5211,-1.65017
32.6261,-1.63101
32.7311,-1.62622
32.8361,-1.62861
32.9411,-1.66214
33.0461,-1.67891
33.1511,-1.68609
33.2561,-1.69328
33.3611,-1.66693
33.4661,-1.67172
33.5711,-1.6358
33.6761,-1.72681
33.7811,-1.67412
33.8861,-1.65975
33.9911,-1.66693
34.0961,-1.67651
34.2011,-1.78668
34.3061,-1.66693
34.4111,-1.70525
34.5161,-1.71723
34.6211,-1.55916
34.7261,-1.65017
34.8311,-1.70046
34.9361,-1.70046
35.0411,-1.70765
35.1461,-1.86093
35.2511,-1.74118
35.3561,-1.70286
35.4611,-1.69807
35.5661,-1.6334
35.6711,-1.70286
35.7761,-1.68609
35.8811,-1.5855
35.9861,-1.66933
36.0911,-1.85135
36.1961,-1.69328
36.3011,-1.74357
36.4061,-1.67651
36.5111,-1.70286
36.6161,-1.69088
36.7211,-1.71483
36.8261,-1.69807
36.9311,-1.57832
37.0361,-1.78668
37.1411,-1.71962
37.2461,-1.81063
37.3511,-1.74357
37.4561,-1.66454
37.5611,-1.64538
37.6661,-1.71244
37.7711,-1.61424
37.8761,-1.69567
37.9811,-1.71723
38.0861,-1.9232
38.1911,-1.6837
38.2961,-1.67651
38.4011,-1.67412
38.5061,-1.65735
38.6111,-1.57592
38.7161,-1.33403
38.8211,-1.62861
38.9261,-1.49689
39.0311,-1.75315
39.1361,-1.76513
39.2411,-1.67172
39.3461,-1.72441
39.4511,-1.71723
39.5561,-1.73878
39.6611,-1.75555
39.7871,-1.71962
39.8921,-1.61903
39.9971,-1.84177
40.1021,-1.70525
40.2071,-1.67651
40.3121,-1.5879
40.4171,-1.86812
40.5221,-1.90644
40.6271,-1.65256
40.7321,-1.7316
40.8371,-1.74118
40.9421,-1.5855
41.0471,-1.70046
41.1521,-1.64298
41.2571,-1.44899
41.3621,-1.69567
41.4671,-1.66933
41.5721,-1.56634
41.6771,-1.65496
41.7821,-1.58071
41.8871,-1.63819
41.9921,-1.71483
42.0971,-1.60227
42.2021,-1.6813
42.3071,-1.69328
42.4121,-1.59269
42.5171,-1.62861
42.6221,-1.6358
42.7271,-1.80105
42.8321,-1.48012
42.9371,-1.63819
