#time, gyroY[]
27.9011,0.0255663
28.0061,0.0394148
28.1111,0.0383495
28.2161,0.0383495
28.3211,0.0340885
28.4261,0.0671117
28.5311,0.0649811
28.6361,0.0585895
28.7411,0.0298274
28.8461,0.0245011
28.9511,0.04048
29.0561,0.0798948
29.1611,0.04048
29.2661,0.0372843
29.3711,0.0458064
29.4761,0.0266316
29.5811,0.0458064
29.6861,0.0372843
29.7911,0.0149137
29.8961,0.0447411
30.0011,0.0532632
30.1061,0.0617853
30.2111,0.0415453
30.3161,0.072438
30.4211,0.123571
30.5261,0.0468716
30.6311,0.0245011
30.7361,0.00958738
30.8411,0.0245011
30.9461,0.0447411
31.0511,0.0234358
31.1561,0.015979
31.2611,0.0287621
31.3661,0.0340885
31.4711,0.04048
31.5761,0.0426106
31.6811,0.0426106
31.7861,0.11931
31.8911,0.0415453
31.9961,0.0458064
32.1011,0.0415453
32.2061,0.00958738
32.3111,0.00745685
32.4161,0.0500674
32.5211,0.0553938
32.6261,0.0553938
32.7311,0.04048
32.8361,0.0351537
32.9411,0.0468716
33.0461,0.0575243
33.1511,0.0500674
33.2561,0.0426106
33.3611,0.0436758
33.4661,0.0426106
33.5711,0.0458064
33.6761,0.0383495
33.7811,0.0543285
33.8861,0.0351537
33.9911,0.0490022
34.0961,0.0490022
34.2011,0.0276969
34.3061,0.0607201
34.4111,0.0511327
34.5161,0.0458064
34.6211,0.0500674
34.7261,0.0415453
34.8311,0.0436758
34.9361,0.0383495
35.0411,0.0490022
35.1461,0.0117179
35.2511,0.0117179
35.3561,0.0468716
35.4611,0.0490022
35.5661,0.0617853
35.6711,0.0372843
35.7761,0.0351537
35.8811,0.0255663
35.9861,0.036219
36.0911,0.0703075
36.1961,0.0617853
36.3011,0.0447411
36.4061,0.052198
36.5111,0.0628506
36.6161,0.0394148
36.7211,0.00319579
36.8261,-0.0117179
36.9311,0.00745685
37.0361,0.0468716
37.1411,0.0852212
37.2461,0.115049
37.3511,0.04048
37.4561,0.0340885
37.5611,0.0340885
37.6661,0.036219
37.7711,0.0426106
37.8761,0.0340885
37.9811,0.0340885
38.0861,0.0607201
38.1911,0.0319579
38.2961,0.04048
38.4011,0.0500674
38.5061,0.0607201
38.6111,0.036219
38.7161,0.0841559
38.8211,0.052198
38.9261,0.036219
39.0311,0.0276969
39.1361,0.0287621
39.2411,0.0394148
39.3461,0.0639159
39.4511,0.0490022
39.5561,0.0490022
39.6611,0.0532632
39.7871,0.0692422
39.8921,0.0617853
39.9971,0.0543285
40.1021,0.0436758
40.2071,0.0532632
40.3121,0.0415453
40.4171,0.0394148
40.5221,-0.0735032
40.6271,-0.0500674
40.7321,0.052198
40.8371,0.0287621
40.9421,0.0340885
41.0471,0.0468716
41.1521,0.0617853
41.2571,0.0351537
41.3621,0.0703075
41.4671,0.0681769
41.5721,0.0298274
41.6771,0.0436758
41.7821,0.0330232
41.8871,0.00745685
41.9921,0.0745685
42.0971,0.0426106
42.2021,0.0532632
42.3071,0.0106526
42.4121,0.00426106
42.5171,0.0149137
42.6221,0.0479369
42.7271,0.0287621
42.8321,0.056459
42.9371,0.0447411
43.0421,0.052198
43.1471,0.0266316
43.2521,0.0138484
43.3571,0.0298274
43.4621,0.0276969
43.5671,0.0671117
43.6721,0.0191748
43.7771,0.0479369
43.8821,0.0426106
43.9871,0.0617853
44.0921,0.00213053
44.1971,0.0500674
44.3021,0.0298274
44.4071,0.0468716
44.5121,0.0639159
44.6171,0.0394148
44.7221,0.0500674
44.8271,0.0138484
44.9321,0.0436758
45.0371,0.04048
45.1421,0.0713727
45.2471,-0.02024
45.3521,0.00852212
45.4571,0.0543285
45.5621,0.0671117
45.6671,0.0628506
45.7721,0.0841559
45.8771,0.0490022
45.9821,0.0543285
46.0871,0.0426106
46.1921,0.0553938
