#time, accZ[]
58.5821,-10.2004
58.6871,-10.1788
58.7921,-10.4351
58.8971,-10.2914
59.0021,-10.3058
59.1071,-10.3752
59.2121,-10.2914
59.3171,-10.2243
59.4221,-10.392
59.5271,-10.4423
59.6321,-10.2651
59.7371,-10.6818
59.8421,-9.54415
59.9471,-10.8758
60.0521,-8.58615
60.1571,-10.2124
60.2621,-10.0351
60.3671,-10.5261
60.4721,-10.4279
60.5771,-10.2507
60.6821,-10.5956
60.7871,-10.4854
60.8921,-10.3632
60.9971,-10.5046
61.1021,-10.5716
61.2071,-10.2411
61.3121,-10.3968
61.4171,-10.1788
61.5221,-10.3225
61.6271,-10.3273
61.7321,-10.3321
61.8371,-10.3776
61.9421,-10.3537
62.0471,-10.2507
62.1521,-10.2579
62.2571,-9.72139
62.3621,-10.0926
62.4671,-10.5357
62.5721,-10.2052
62.6771,-10.3417
62.7821,-10.2579
62.8871,-10.392
62.9921,-10.3393
63.0971,-10.4159
63.2021,-10.4614
63.3071,-10.2698
63.4121,-10.1716
63.5171,-10.2651
63.6221,-10.2435
63.7271,-10.2986
63.8321,-10.2842
63.9371,-10.2914
64.0421,-10.2866
64.1471,-10.3537
64.2521,-10.4207
64.3571,-10.404
64.4621,-10.4495
64.5671,-10.3944
64.6721,-10.3513
64.7771,-10.4183
64.8821,-10.2842
64.9871,-10.3585
65.0921,-10.1908
65.1971,-10.0926
65.3021,-10.1884
65.4071,-10.4591
65.5121,-10.4423
65.6171,-10.277
65.7221,-10.3417
65.8271,-10.4447
65.9321,-10.3249
66.0371,-10.4614
66.1421,-10.3728
66.2471,-10.5764
66.3521,-10.2603
66.4572,-10.3896
66.5621,-10.3225
66.6671,-10.3225
66.7721,-10.2674
66.8771,-10.1118
66.9821,-10.5333
67.0871,-9.34297
67.1921,-9.61121
67.2971,-10.3201
67.4021,-10.2914
67.5071,-10.3656
67.6121,-10.5429
67.7171,-10.1022
67.8221,-10.5812
67.9271,-10.5117
68.0321,-10.2363
68.1371,-9.95131
68.2421,-10.8902
68.3471,-10.483
68.4521,-11.0458
68.5571,-10.495
68.6621,-10.0256
68.7671,-10.3632
68.8721,-10.1525
68.9771,-10.7536
69.0821,-10.1381
69.1871,-10.2938
69.2921,-10.1142
69.3971,-10.6794
69.5021,-10.1022
69.6071,-10.3704
69.7121,-10.0351
69.8171,-10.4758
69.9221,-10.3968
70.0271,-10.5261
70.1321,-11.5655
70.2371,-13.2421
70.3421,-10.3992
70.4471,-10.4591
70.5521,-10.5165
70.6571,-10.5908
70.7621,-10.4207
70.8671,-9.82198
70.9721,-11.5296
71.0771,-11.0386
71.1821,-10.507
71.2871,-11.1823
71.3921,-10.0615
71.4971,-10.1525
71.6021,-10.4183
71.7071,-10.471
71.8121,-10.0064
71.9171,-10.2818
72.0221,-11.4242
72.1271,-10.7991
72.2321,-10.4614
72.3371,-10.3656
72.4421,-10.3848
72.5471,-10.8925
72.6521,-10.7129
72.7571,-10.1357
72.8621,-9.20406
72.9671,-11.3213
73.0721,-11.623
73.1771,-8.97893
73.2821,-9.45793
73.3871,-8.02571
73.4921,-15.6323
73.5971,-14.9713
73.7021,-9.23041
73.8071,-11.7428
73.9121,-10.198
74.0171,-8.85199
74.1221,-10.0519
74.2271,-10.1956
74.3321,-11.5153
74.4371,-10.0447
74.5421,-10.3465
74.6471,-10.2459
74.7521,-10.2627
74.8571,-11.7308
74.9621,-9.55373
75.0671,-12.9379
75.1721,-9.90101
75.2771,-10.586
75.3821,-10.5812
75.4871,-10.4495
75.5921,-11.156
75.6971,-10.4734
75.8021,-10.3632
75.9071,-8.80649
76.0121,-10.6626
76.1171,-10.8207
76.2221,-9.96089
76.3271,-10.2531
76.4321,-10.4327
76.5371,-10.4375
76.6421,-10.5956
76.7471,-11.908
76.8521,-10.1645
76.9571,-11.9032
77.0621,-9.59205
77.1671,-11.6566
77.2721,-9.26633
77.3771,-9.87946
77.4821,-11.0961
77.5871,-11.3716
77.6921,-10.0687
77.7971,-11.1177
77.9021,-10.2028
78.0071,-11.2087
78.1121,-10.7297
78.2171,-9.80761
78.3221,-11.5919
78.4271,-9.57289
78.5321,-10.5932
78.6371,-11.3596
78.7421,-10.3944
78.8471,-11.7332
78.9521,-9.92736
79.0571,-11.0003
