time;roll;pitch;yaw;alt
 7.01844E+01;-1.67957E-02; 6.74743E-02; 3.40351E+00; 1.10903E+02
 7.02844E+01;-1.57542E-02; 6.70000E-02; 3.37702E+00; 1.10903E+02
 7.03844E+01;-1.47827E-02; 6.67804E-02; 3.35130E+00; 1.10903E+02
 7.04844E+01;-1.38949E-02; 6.68009E-02; 3.32634E+00; 1.10903E+02
 7.05844E+01;-1.30131E-02; 6.74603E-02; 3.30208E+00; 1.10903E+02
 7.06844E+01;-1.21565E-02; 6.84997E-02; 3.27845E+00; 1.10903E+02
 7.07844E+01;-1.13000E-02; 6.88570E-02; 3.25540E+00; 1.10903E+02
 7.08844E+01;-1.04332E-02; 6.89404E-02; 3.23279E+00; 1.10903E+02
 7.09844E+01;-9.74434E-03; 6.90336E-02; 3.21103E+00; 1.10903E+02
 7.10844E+01;-9.19744E-03; 6.91131E-02; 3.19008E+00; 1.10903E+02
 7.11844E+01;-8.60149E-03; 6.88403E-02; 3.16959E+00; 1.10903E+02
 7.12844E+01;-7.96197E-03; 6.85524E-02; 3.14956E+00; 1.10903E+02
 7.13844E+01;-7.41094E-03; 6.84140E-02; 3.13012E+00; 1.10903E+02
 7.14844E+01;-6.92208E-03; 6.84469E-02; 3.11145E+00; 1.10903E+02
 7.15844E+01;-6.43310E-03; 6.83586E-02; 3.09331E+00; 1.10903E+02
 7.16844E+01;-5.92810E-03; 6.82353E-02; 3.07562E+00; 1.10903E+02
 7.17844E+01;-5.48173E-03; 6.80521E-02; 3.05844E+00; 1.10903E+02
 7.18844E+01;-5.10399E-03; 6.78444E-02; 3.04186E+00; 1.10903E+02
 7.19844E+01;-4.72721E-03; 6.77386E-02; 3.02578E+00; 1.10903E+02
 7.20844E+01;-4.33449E-03; 6.76758E-02; 3.01020E+00; 1.10903E+02
 7.21844E+01;-4.01789E-03; 6.76230E-02; 2.99511E+00; 1.10903E+02
 7.22844E+01;-3.79128E-03; 6.76946E-02; 2.98055E+00; 1.10903E+02
 7.23844E+01;-3.55419E-03; 6.82539E-02; 2.96641E+00; 1.10903E+02
 7.24844E+01;-3.29051E-03; 6.91589E-02; 2.95268E+00; 1.10903E+02
 7.25844E+01;-2.98430E-03; 6.90068E-02; 2.93943E+00; 1.10903E+02
 7.26844E+01;-2.65764E-03; 6.83895E-02; 2.92677E+00; 1.10903E+02
 7.27844E+01;-2.44742E-03; 6.85971E-02; 2.91444E+00; 1.10903E+02
 7.28844E+01;-2.37835E-03; 6.92656E-02; 2.90232E+00; 1.10903E+02
 7.29844E+01;-2.24029E-03; 6.95075E-02; 2.89056E+00; 1.10903E+02
 7.30844E+01;-1.93021E-03; 6.94590E-02; 2.87914E+00; 1.10903E+02
 7.31844E+01;-1.57020E-03; 6.95227E-02; 2.86803E+00; 1.10903E+02
 7.32844E+01;-1.26966E-03; 6.97455E-02; 2.85718E+00; 1.10903E+02
 7.33844E+01;-9.59794E-04; 6.99238E-02; 2.84666E+00; 1.10903E+02
 7.34844E+01;-5.89916E-04; 7.00923E-02; 2.83638E+00; 1.10903E+02
 7.35844E+01;-5.29535E-04; 7.00824E-02; 2.82639E+00; 1.10903E+02
 7.36844E+01;-7.39008E-04; 6.99757E-02; 2.81672E+00; 1.10903E+02
 7.37844E+01;-8.73222E-04; 6.94400E-02; 2.80740E+00; 1.10903E+02
 7.38844E+01;-9.32017E-04; 6.87364E-02; 2.79837E+00; 1.10903E+02
 7.39844E+01;-9.11012E-04; 6.80495E-02; 2.78960E+00; 1.10903E+02
 7.40844E+01;-7.79773E-04; 6.73591E-02; 2.78126E+00; 1.10903E+02
 7.41844E+01;-6.55443E-04; 6.69675E-02; 2.77322E+00; 1.10903E+02
 7.42844E+01;-5.23272E-04; 6.68446E-02; 2.76532E+00; 1.10903E+02
 7.43844E+01;-9.07719E-04; 6.68184E-02; 2.75767E+00; 1.10903E+02
 7.44844E+01;-1.75928E-03; 6.69430E-02; 2.75016E+00; 1.10903E+02
 7.45844E+01;-1.92810E-03; 6.65986E-02; 2.74290E+00; 1.10903E+02
 7.46844E+01;-1.47219E-03; 6.62009E-02; 2.73607E+00; 1.10903E+02
 7.47844E+01;-1.39219E-03; 6.53187E-02; 2.72946E+00; 1.10903E+02
 7.48844E+01;-1.57582E-03; 6.42150E-02; 2.72311E+00; 1.10903E+02
 7.49844E+01;-1.76584E-03; 6.40792E-02; 2.71684E+00; 1.10903E+02
 7.50844E+01;-2.00091E-03; 6.44736E-02; 2.71053E+00; 1.10903E+02
 7.51844E+01;-2.12458E-03; 6.59760E-02; 2.70437E+00; 1.10903E+02
 7.52844E+01;-2.25047E-03; 6.79999E-02; 2.69850E+00; 1.10903E+02
 7.53844E+01;-2.77568E-03; 6.88981E-02; 2.69293E+00; 1.10903E+02
 7.54844E+01;-3.50725E-03; 6.91605E-02; 2.68764E+00; 1.10903E+02
 7.55844E+01;-3.85811E-03; 7.03963E-02; 2.68243E+00; 1.10903E+02
 7.56844E+01;-3.85999E-03; 7.20475E-02; 2.67727E+00; 1.10903E+02
 7.57844E+01;-3.98806E-03; 7.11707E-02; 2.67232E+00; 1.10903E+02
 7.58844E+01;-4.32588E-03; 6.89658E-02; 2.66773E+00; 1.10903E+02
 7.59844E+01;-4.81987E-03; 6.89862E-02; 2.66332E+00; 1.10903E+02
 7.60844E+01;-5.44468E-03; 7.01521E-02; 2.65867E+00; 1.10903E+02
 7.61844E+01;-5.71289E-03; 7.27288E-02; 2.65417E+00; 1.10903E+02
 7.62844E+01;-5.52820E-03; 7.60140E-02; 2.65006E+00; 1.10903E+02
 7.63844E+01;-6.68801E-03; 8.51021E-02; 2.64624E+00; 1.10903E+02
 7.64844E+01;-9.04354E-03; 1.03864E-01; 2.64219E+00; 1.10903E+02
 7.65844E+01;-1.16574E-02; 9.51108E-02; 2.63763E+00; 1.10903E+02
 7.66844E+01;-1.50361E-02; 8.03863E-02; 2.63377E+00; 1.10903E+02
 7.67844E+01;-1.47239E-02; 6.59452E-02; 2.63065E+00; 1.10903E+02
 7.68844E+01;-1.05304E-02; 4.97112E-02; 2.62845E+00; 1.10903E+02
 7.69844E+01;-8.58399E-03; 5.26221E-02; 2.62710E+00; 1.10903E+02
 7.70844E+01;-8.73912E-03; 6.50501E-02; 2.62544E+00; 1.10903E+02
 7.71844E+01;-7.69936E-03; 7.14523E-02; 2.62313E+00; 1.10903E+02
 7.72844E+01;-5.23550E-03; 7.43669E-02; 2.62068E+00; 1.10903E+02
 7.73844E+01;-4.31837E-03; 7.96419E-02; 2.61820E+00; 1.10903E+02
 7.74844E+01;-4.90422E-03; 8.60666E-02; 2.61566E+00; 1.10903E+02
 7.75844E+01;-4.72992E-03; 9.20171E-02; 2.61322E+00; 1.10903E+02
 7.76844E+01;-3.80128E-03; 9.77099E-02; 2.61093E+00; 1.10903E+02
 7.77844E+01;-3.56187E-03; 9.40533E-02; 2.60842E+00; 1.10903E+02
 7.78844E+01;-3.84033E-03; 8.54087E-02; 2.60579E+00; 1.10903E+02
 7.79844E+01;-3.89771E-03; 8.07515E-02; 2.60337E+00; 1.10903E+02
 7.80844E+01;-3.87038E-03; 7.84262E-02; 2.60134E+00; 1.10903E+02
 7.81844E+01;-4.20191E-03; 7.54950E-02; 2.59939E+00; 1.10903E+02
 7.82844E+01;-4.84430E-03; 7.16912E-02; 2.59768E+00; 1.10903E+02
 7.83844E+01;-5.72455E-03; 6.92487E-02; 2.59613E+00; 1.10903E+02
 7.84844E+01;-6.77381E-03; 6.76433E-02; 2.59467E+00; 1.10903E+02
 7.85844E+01;-7.40684E-03; 6.99141E-02; 2.59344E+00; 1.10903E+02
 7.86844E+01;-7.63478E-03; 7.39659E-02; 2.59203E+00; 1.10903E+02
 7.87844E+01;-8.06366E-03; 7.63688E-02; 2.59045E+00; 1.10903E+02
 7.88844E+01;-8.84190E-03; 7.78961E-02; 2.58887E+00; 1.10903E+02
 7.89844E+01;-9.22059E-03; 7.65607E-02; 2.58735E+00; 1.10903E+02
 7.90844E+01;-9.06089E-03; 7.39066E-02; 2.58590E+00; 1.10903E+02
 7.91844E+01;-8.76944E-03; 7.27844E-02; 2.58455E+00; 1.10903E+02
 7.92844E+01;-8.37446E-03; 7.24887E-02; 2.58337E+00; 1.10903E+02
 7.93844E+01;-8.46137E-03; 7.38497E-02; 2.58218E+00; 1.10903E+02
 7.94844E+01;-8.98311E-03; 7.60193E-02; 2.58082E+00; 1.10903E+02
 7.95844E+01;-8.70178E-03; 7.67414E-02; 2.57931E+00; 1.10903E+02
 7.96844E+01;-7.81637E-03; 7.68124E-02; 2.57790E+00; 1.10903E+02
 7.97844E+01;-7.08294E-03; 7.78965E-02; 2.57669E+00; 1.10903E+02
 7.98844E+01;-6.39518E-03; 7.93431E-02; 2.57539E+00; 1.10903E+02
 7.99844E+01;-6.80803E-03; 8.13511E-02; 2.57403E+00; 1.10903E+02
 8.00844E+01;-8.44786E-03; 8.37312E-02; 2.57274E+00; 1.10903E+02
 8.01844E+01;-1.07857E-02; 8.52896E-02; 2.57160E+00; 1.10903E+02
 8.02844E+01;-1.35550E-02; 8.63695E-02; 2.57067E+00; 1.10903E+02
 8.03844E+01;-1.44316E-02; 7.51816E-02; 2.56995E+00; 1.10903E+02
 8.04844E+01;-1.35505E-02; 5.82979E-02; 2.56926E+00; 1.10903E+02
 8.05844E+01;-1.25834E-02; 6.22897E-02; 2.56875E+00; 1.10903E+02
 8.06844E+01;-1.16675E-02; 7.64085E-02; 2.56835E+00; 1.10903E+02
