#time, GyrX[]
18.3625,0.0047086
18.3861,-0.00297812
18.4059,6.27971e-05
18.426,-0.00192722
18.4459,-0.00458695
18.4661,0.00133855
18.4858,-0.00513961
18.5057,-0.00357653
18.526,9.49195e-05
18.5459,0.00315521
18.5662,-0.0013709
18.5858,0.00115018
18.6058,0.00233734
18.626,-0.00776083
18.6457,0.00162574
18.6658,0.000147508
18.6857,-0.00549661
18.7057,-0.00359033
18.7257,-0.00525832
18.7459,-0.0013929
18.7658,-0.00515396
18.7858,-0.000276247
18.8058,-0.00208561
18.8258,-0.00323797
18.8458,-0.00128031
18.8658,-0.000101021
18.8858,-0.00127648
18.9058,-0.00242329
18.9257,0.00299859
18.946,0.000241763
18.9658,-0.00487584
18.9859,-0.000431448
19.0058,-0.00149851
19.0258,0.00132641
19.0459,-0.00153443
19.0659,-0.00562445
19.0857,-0.00381145
19.1058,-0.00484002
19.1258,-0.000366608
19.1462,0.00241413
19.166,-0.00242565
19.1858,-0.00063399
19.2058,-0.0035807
19.2258,-0.001738
19.246,-0.000632686
19.2659,-0.00726884
19.2858,-0.00461771
19.3059,-0.00370764
19.3258,0.00027133
19.3461,-0.00659296
19.3681,-0.00441511
19.3857,-0.00426035
19.4058,-0.00318887
19.4258,-0.00213051
19.4461,-0.00577522
19.4658,-0.00258216
19.4858,-0.000329066
19.5058,-0.00389968
19.5258,0.000585404
19.5461,0.00385141
19.5658,-0.0025799
19.5857,0.00256833
19.6059,-0.00118363
19.6258,0.00420189
19.646,-0.000374952
19.6657,-0.00317741
19.6858,-0.0016015
19.7059,0.00577339
19.7258,0.00158614
19.7461,0.000352534
19.7658,-0.00176485
19.7859,0.0020872
19.8059,-0.00219773
19.8259,0.000455856
19.8459,-0.00114611
19.8658,-0.00175913
19.8859,0.00190019
19.9058,0.00260873
19.9259,0.00655651
19.9461,-0.00115962
19.9658,0.000145919
19.9857,0.000437439
20.0057,0.000797927
20.0258,0.00344428
20.0457,-0.00512267
20.0658,-0.000861821
20.0858,0.00492218
20.1057,-0.00355118
20.1258,-0.00695916
20.146,-0.00185604
20.1661,-0.00506681
20.1859,-0.0036625
20.2057,-0.00237872
20.2259,-0.00238093
20.2458,0.00149721
20.2659,0.00231193
20.2859,-0.000599845
20.3058,-0.0105437
20.3257,-0.00224602
20.3458,6.70812e-05
20.3659,-0.00616455
20.3858,-0.000255678
20.4057,0.0031391
20.4258,-0.00358
20.4458,-0.000856495
20.4661,-0.00581432
20.4858,-0.00206457
20.5058,-0.00533883
20.5259,0.00133165
20.5459,-0.00136786
20.5661,-0.00201429
20.5857,-0.00438578
20.6058,0.00320223
20.6259,-0.000199662
20.6459,-0.000861111
20.666,-0.00247133
20.6857,-0.00265779
20.7058,-0.00354661
20.7258,0.0013572
20.746,0.00217669
20.7661,0.000118513
20.7857,0.00138845
20.8058,-0.000843053
20.8259,0.00332465
20.8457,-0.00473078
20.866,-0.00123895
20.8858,0.00185597
20.9058,-0.00161003
20.9257,-0.000126507
20.9458,-0.00530791
20.966,5.19438e-05
20.9858,-0.000143003
21.0057,-0.00240954
21.0257,-0.00467543
21.0457,-0.00298146
21.0659,-0.00271816
21.0858,-0.00246549
21.1058,0.00369732
21.1258,0.00105706
21.1459,0.00146332
21.166,-0.00552272
21.1857,-0.00583778
21.2059,-0.00153544
21.2257,-0.0017154
21.2459,-0.0014574
21.2659,0.00242042
21.286,0.0062814
21.3058,0.000518997
21.3258,-0.00587226
21.3458,-0.00179085
21.3661,0.00572467
21.3858,0.000857858
21.4057,-0.00121444
21.4257,-0.00105207
21.4457,-0.000857358
21.4659,-0.00280729
21.4861,0.00216447
21.5058,0.00185789
21.5258,-0.00135115
21.5459,-0.000529404
21.5659,-0.0030152
21.5859,-0.000416247
21.6057,0.00120511
21.6259,0.00244768
21.6458,-0.000661117
21.6657,-0.00352205
21.686,-0.00448295
21.7058,-0.00636233
21.7257,-0.00329612
21.7457,-0.00260579
21.7661,0.00202498
21.7858,0.00372774
21.8058,0.000622165
21.8256,0.00342344
21.8458,-0.00030137
21.8657,-0.0030115
21.886,0.000834172
21.9059,-0.00167147
21.9256,-0.00137781
21.9459,-0.00313192
21.9659,-0.00224863
21.9859,0.00133395
22.0058,-0.00407778
22.0258,0.00150921
22.0458,-0.00323264
22.0658,0.00110481
22.0858,0.000532494
22.1058,-0.00230295
22.1259,0.000287868
22.1458,0.000748107
22.166,-0.00269492
22.1858,-9.58826e-05
22.2057,-0.00258389
22.2258,-0.00537083
22.2458,-0.00241338
22.2659,-0.00459016
22.2858,-0.00165163
22.3057,0.000823317
22.326,-0.00641117
22.3458,-0.00578931
22.3661,-0.00348711
22.3857,-0.00921598
22.4058,-0.0034213
22.4259,-0.000561829
22.4457,0.00557896
22.4657,-0.000263714
22.4859,-0.000228091
22.506,0.00156725
22.5258,0.00233821
22.5458,0.00190941
22.5661,-0.00415619
22.5858,-0.00235934
22.6059,-0.0023757
22.6259,-0.00349758
22.6458,-0.00206029
22.6659,0.00116516
22.6858,-0.00269735
22.7059,-0.00515963
22.7258,0.00475369
22.7459,0.000920259
22.7661,0.00706126
22.7859,0.000907175
22.8058,-0.00254887
22.8257,-0.000601903
22.8458,-0.000307659
22.8659,-0.00427606
22.8858,-0.000820455
22.906,-0.000318736
22.9258,-0.00100032
22.9459,-0.00619113
22.9659,0.00302857
22.9859,-0.000942403
23.0059,-0.00601663
23.0258,-0.00320889
23.0457,0.00147298
23.0658,-0.000388334
23.0857,-0.000406991
23.1059,0.00142632
23.1258,-0.00514602
23.1457,-0.00213462
23.1661,0.000483089
23.1857,-0.00236188
23.2058,-0.00253667
23.2258,-5.41757e-05
23.2458,-0.00575028
23.2657,-0.0064761
23.2858,0.00322915
23.3058,-0.00108705
23.3257,-0.00905003
23.3458,-0.00677384
