time;roll;pitch;yaw;alt
 1.84468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 0.00000E+00
 1.84668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69820E+02
 1.84868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69820E+02
 1.85068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69783E+02
 1.85268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69783E+02
 1.85468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69745E+02
 1.85668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69745E+02
 1.85868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69674E+02
 1.86068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69674E+02
 1.86268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69588E+02
 1.86468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69588E+02
 1.86668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69538E+02
 1.86868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69538E+02
 1.87068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69542E+02
 1.87268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69542E+02
 1.87468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69580E+02
 1.87668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69580E+02
 1.87868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69600E+02
 1.88068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69600E+02
 1.88268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69607E+02
 1.88468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69607E+02
 1.88668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69577E+02
 1.88868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69577E+02
 1.89068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69535E+02
 1.89268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69535E+02
 1.89468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69481E+02
 1.89668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69481E+02
 1.89868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69475E+02
 1.90068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69475E+02
 1.90268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69520E+02
 1.90468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69520E+02
 1.90668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69570E+02
 1.90868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69570E+02
 1.91068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69585E+02
 1.91268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69585E+02
 1.91468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69566E+02
 1.91668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69566E+02
 1.91868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69578E+02
 1.92068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69578E+02
 1.92268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69620E+02
 1.92468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69620E+02
 1.92668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69668E+02
 1.92868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69668E+02
 1.93068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69695E+02
 1.93268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69695E+02
 1.93468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69703E+02
 1.93668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69703E+02
 1.93868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69709E+02
 1.94068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69709E+02
 1.94268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69714E+02
 1.94468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69714E+02
 1.94668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69714E+02
 1.94868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69714E+02
 1.95068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69707E+02
 1.95268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69707E+02
 1.95468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69694E+02
 1.95668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69694E+02
 1.95868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69684E+02
 1.96068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69684E+02
 1.96268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69678E+02
 1.96468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69678E+02
 1.96668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69706E+02
 1.96868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69706E+02
 1.97068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69799E+02
 1.97268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69799E+02
 1.97468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69956E+02
 1.97668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69956E+02
 1.97868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.70028E+02
 1.98068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.70028E+02
 1.98268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.70016E+02
 1.98468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.70016E+02
 1.98668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69978E+02
 1.98868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69978E+02
 1.99068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69969E+02
 1.99268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69969E+02
 1.99468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69988E+02
 1.99668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69988E+02
 1.99868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69984E+02
 2.00068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69984E+02
 2.00268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69957E+02
 2.00468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69957E+02
 2.00668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69904E+02
 2.00868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69904E+02
 2.01068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69825E+02
 2.01268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69825E+02
 2.01468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69717E+02
 2.01668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69717E+02
 2.01868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69657E+02
 2.02068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69657E+02
 2.02268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69643E+02
 2.02468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69643E+02
 2.02668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69646E+02
 2.02868E+01; 3.21751E-01; 0.00000E+00; 5.31429E+00; 4.69646E+02
 2.03068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69636E+02
 2.03268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69636E+02
 2.03468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69614E+02
 2.03668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69614E+02
 2.03868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69586E+02
 2.04068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69586E+02
 2.04268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69553E+02
 2.04468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69553E+02
 2.04668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69516E+02
 2.04868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69516E+02
 2.05068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69477E+02
 2.05268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69477E+02
 2.05468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69436E+02
 2.05668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69436E+02
 2.05868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69446E+02
 2.06068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69446E+02
 2.06268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69508E+02
 2.06468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69508E+02
 2.06668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69580E+02
 2.06868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69580E+02
 2.07068E+01; 3.21751E-01; 0.00000E+00; 5.31429E+00; 4.69622E+02
 2.07268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69622E+02
 2.07468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69636E+02
 2.07668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69636E+02
 2.07868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69651E+02
 2.08068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69651E+02
 2.08268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69668E+02
 2.08468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69668E+02
 2.08668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69695E+02
 2.08868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69695E+02
 2.09068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69740E+02
 2.09268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69740E+02
 2.09468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69801E+02
 2.09668E+01; 3.21751E-01; 0.00000E+00; 5.31429E+00; 4.69801E+02
 2.09868E+01; 3.21751E-01; 0.00000E+00; 5.31429E+00; 4.69803E+02
 2.10068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69803E+02
 2.10268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69745E+02
 2.10468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69745E+02
 2.10668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69659E+02
 2.10868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69659E+02
 2.11068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69577E+02
 2.11268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69577E+02
 2.11468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69499E+02
 2.11668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69499E+02
 2.11868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69453E+02
 2.12068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69453E+02
 2.12268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69440E+02
 2.12468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69440E+02
 2.12668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69437E+02
 2.12868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69437E+02
 2.13068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69425E+02
 2.13268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69425E+02
 2.13468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69405E+02
 2.13668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69405E+02
 2.13868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69376E+02
 2.14068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69376E+02
 2.14268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69337E+02
 2.14468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69337E+02
 2.14668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69318E+02
 2.14868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69318E+02
 2.15068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69349E+02
 2.15268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69349E+02
 2.15468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69426E+02
 2.15668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69426E+02
 2.15868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69424E+02
 2.16068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69424E+02
 2.16268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69344E+02
 2.16468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69344E+02
 2.16668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69253E+02
 2.16868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69253E+02
 2.17068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69215E+02
 2.17268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69215E+02
 2.17468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69230E+02
 2.17668E+01; 3.21751E-01; 0.00000E+00; 5.31429E+00; 4.69230E+02
 2.17868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69235E+02
 2.18068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69235E+02
 2.18268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69232E+02
 2.18468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69232E+02
 2.18668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69233E+02
 2.18868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69233E+02
 2.19068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69250E+02
 2.19268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69250E+02
 2.19468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69284E+02
 2.19668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69284E+02
 2.19868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69337E+02
 2.20068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69337E+02
 2.20268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69407E+02
 2.20468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69407E+02
 2.20668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69448E+02
 2.20868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69448E+02
 2.21068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69417E+02
 2.21268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69417E+02
 2.21468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69314E+02
 2.21668E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69314E+02
 2.21868E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69271E+02
 2.22068E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69271E+02
 2.22268E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69289E+02
 2.22468E+01; 3.21751E-01; 1.05021E-01; 5.59893E+00; 4.69289E+02
