time;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;Press;Temp;Alt;Lat;Lng;NSats;Spd
18.446800;-3.137650;0.560399;-9.361418;-0.004323;0.005179;-0.000078;95807.300000;0.320000;90.610000;40.883966;-31.366786;0.000000;0.000000
18.466800;-3.068802;0.592976;-9.220568;0.001108;0.009038;-0.003715;95807.722535;0.320000;90.610000;40.883866;-31.366566;0.000000;0.000000
18.486800;-3.074656;0.574215;-9.304050;-0.005061;-0.001506;-0.001502;95808.145070;0.320000;90.610000;40.883766;-31.366346;0.000000;0.000000
18.506800;-3.086789;0.639132;-9.302022;-0.003378;-0.000317;-0.001052;95808.567606;0.320000;90.610000;40.883660;-31.366133;0.000000;0.000000
18.526800;-3.087541;0.634618;-9.291152;0.000218;0.007893;-0.001153;95808.990141;0.320000;90.610000;40.883540;-31.365933;0.000000;0.000000
18.546800;-3.061410;0.514526;-9.326439;0.002955;0.008414;-0.010964;95809.436600;0.320060;90.610000;40.883420;-31.365733;0.000000;0.000000
18.566800;-3.093168;0.504990;-9.401685;-0.001294;0.000534;-0.006895;95810.656600;0.322060;90.610000;40.883300;-31.365533;0.000000;0.000000
18.586800;-3.206986;0.574391;-9.247886;0.001210;-0.002544;-0.002205;95811.876600;0.324060;90.610000;40.883180;-31.365333;0.000000;0.000000
18.606800;-3.125834;0.661005;-9.281913;0.001837;0.000994;-0.004696;95813.096600;0.326060;90.610000;40.883066;-31.365126;0.000000;0.000000
18.626800;-3.106145;0.627979;-9.256671;-0.007380;0.006284;-0.000028;95814.316600;0.328060;90.610000;40.882966;-31.364906;0.000000;0.000000
18.646800;-3.050889;0.575669;-9.223660;0.001545;0.008455;0.002973;95815.451545;0.330000;90.610000;40.882866;-31.364686;0.000000;0.000000
18.666800;-3.114617;0.569079;-9.264277;-0.000136;0.006664;0.003705;95813.836391;0.330000;90.610000;40.882766;-31.364466;0.000000;0.000000
