#time, AccX[]
24.2057,-3.01589
24.2258,-3.1178
24.2459,-3.03301
24.2658,-3.0898
24.2857,-3.06616
24.3058,-3.05414
24.3258,-3.03751
24.3457,-3.09658
24.3661,-3.12877
24.3858,-3.11439
24.4058,-3.05635
24.4257,-3.13686
24.4459,-3.04943
24.4658,-3.05143
24.4857,-3.04047
24.5057,-3.11716
24.5258,-3.07421
24.5459,-3.0772
24.5659,-3.09253
24.5858,-3.13218
24.6058,-3.14707
24.6258,-3.08766
24.646,-3.04505
24.6658,-3.04957
24.6858,-3.06751
24.7058,-3.08562
24.7258,-3.24976
24.7459,-3.01362
24.766,-2.97373
24.7856,-3.1631
24.8058,-3.06698
24.8257,-2.95367
24.8458,-3.06094
24.8659,-3.18629
24.8857,-3.11838
24.9058,-3.07099
24.9257,-3.40219
24.946,-3.01111
24.966,-3.27364
24.9859,-3.42393
25.0058,-3.48543
25.0257,-3.29397
25.046,-2.71822
25.0658,-3.28741
25.0858,-3.09248
25.1058,-2.90201
25.1257,-3.15546
25.1459,-3.02627
25.166,-3.27636
25.1857,-3.39394
25.2057,-2.80064
25.2257,-2.87945
25.2459,-3.28516
25.2658,-2.92893
25.2857,-2.9328
25.3059,-3.17879
25.3258,-3.08658
25.3458,-3.21392
25.3659,-3.11407
25.3858,-3.12993
25.4057,-2.90074
25.4259,-3.07094
25.4458,-3.26915
25.4657,-3.14303
25.4858,-3.07345
25.5059,-3.0273
25.5259,-2.91541
25.5459,-3.07925
25.5662,-3.28054
25.5861,-3.14371
25.6058,-2.98355
25.6258,-3.02284
25.6459,-3.1811
25.6659,-3.02896
25.6859,-3.07167
25.7058,-3.34502
25.7258,-3.05908
25.7458,-3.0978
25.7662,-3.15841
25.7858,-3.02356
25.8057,-3.09192
25.8257,-3.14613
25.8456,-3.01732
25.8659,-2.98854
25.8858,-3.10384
25.9058,-3.23451
25.9258,-3.09313
25.9458,-2.6229
25.9663,-3.03275
25.9857,-3.17425
26.0058,-3.49569
26.0258,-3.53251
26.0458,-3.03533
26.0659,-3.23337
26.0858,-3.16294
26.1057,-3.227
26.1258,-3.14978
26.1458,-3.07404
26.1662,-3.29249
26.1857,-3.30029
26.2058,-3.32727
26.2257,-3.19996
26.2458,-3.1103
26.266,-3.0345
26.2858,-2.79531
26.3059,-2.72877
26.3258,-2.86417
26.3458,-3.06883
26.3662,-3.08378
26.3859,-2.79572
26.4057,-3.02781
26.4257,-3.00244
26.4458,-2.72729
26.4658,-2.60154
26.4857,-2.60109
26.5058,-2.45671
26.5257,-1.99455
26.5458,-2.13343
26.566,-2.59708
26.5862,-2.18423
26.6059,-2.02881
26.6258,-2.14739
26.6458,-2.46389
26.6659,-2.04094
26.6857,-2.08199
26.7058,-2.16489
26.7257,-1.92546
26.7458,-2.40146
26.766,-2.30861
26.7861,-2.3014
26.8058,-2.61144
26.8257,-3.42146
26.8457,-2.14699
26.8658,0.210795
26.8859,-1.90043
26.9058,-3.37117
26.9258,-2.85532
26.9459,-2.23309
26.9659,-2.07445
26.9862,-1.96552
27.0059,-2.17588
27.0258,-2.40818
27.0458,-2.37688
27.0659,-2.18932
27.086,-2.24436
27.1057,-2.71572
27.1258,-2.49267
27.1458,-2.07601
27.1661,-2.01492
27.1861,-2.17753
27.2058,-2.00816
27.2258,-1.64916
27.2457,-1.66738
27.2658,-1.88883
27.2859,-1.88182
27.3058,-1.57216
27.3257,-1.48683
27.3458,-1.45733
27.3659,-1.14159
27.386,-0.69992
27.4058,-0.566311
27.4258,-0.911678
27.4457,-0.675622
27.4658,-0.293666
27.4858,-0.560272
27.5057,-0.890965
27.5258,-0.510499
27.5458,-0.167547
27.566,-0.127719
27.5859,-0.13763
27.6058,-1.02803
27.6259,-2.17569
27.6459,-2.10782
27.6658,-1.30683
27.6859,-0.172528
27.7058,-0.294964
27.7259,-1.18393
27.7458,-0.900324
27.766,-1.62533
27.786,-2.07676
27.806,-0.726104
27.8258,-0.359902
27.8457,-0.595658
27.8657,-1.06809
27.8857,-1.49446
27.9058,-2.28746
27.9257,-2.33443
27.9459,-0.758226
27.966,0.797932
27.9857,0.349235
28.0059,-0.734253
28.0258,-0.715116
28.0458,-0.322622
28.0658,0.0471969
28.0858,0.0482504
28.1058,-0.325329
28.1258,-0.504412
28.1457,-0.62788
28.1661,-0.0991129
28.1857,0.528036
28.2059,0.283624
28.2257,0.333943
28.2458,0.274086
28.2657,-0.296237
28.2858,-0.398029
28.3058,-0.18018
28.3258,-0.212353
28.3458,0.755834
28.366,0.376807
28.3859,-0.337704
28.406,-0.134836
28.4257,0.371109
28.4459,0.648926
28.4659,0.347315
28.4858,-0.393917
28.5058,0.123849
28.5257,0.717119
28.5459,0.718144
28.5658,0.800281
28.5858,0.436177
28.6058,-0.957907
28.6257,-0.359921
28.6459,0.288557
28.6658,0.0464228
28.6858,0.228037
28.7058,0.13605
28.7258,0.495997
28.7459,0.304714
28.7659,0.220058
28.7858,0.217835
28.8058,0.0975271
28.826,0.19899
28.8458,0.312405
28.8658,-0.219273
28.8858,-0.492321
28.9058,-0.246367
28.9259,-0.255816
28.946,-0.460126
28.9658,-0.0893013
28.9858,0.103056
29.0057,-0.14154
29.0259,-0.166985
29.0459,-0.0535084
29.066,0.265749
29.0858,0.121418
29.1058,-0.1367
29.1259,-0.157472
29.1461,-0.103493
29.1659,-0.00511293
29.1859,-0.309988
29.2057,-0.323903
29.2259,-0.444646
29.2459,-0.428184
29.2659,-0.581435
29.286,-0.342954
29.3057,-0.275968
29.326,-0.0677579
29.3459,-0.42782
29.3657,-0.167759
29.3858,-0.2283
29.4058,-0.213718
29.4259,0.104812
29.4458,0.0927881
29.4658,-0.249255
29.4858,-0.557381
29.5058,-0.454721
29.526,-0.354116
29.5461,-0.185486
29.5659,-0.022962
29.5857,-0.185656
29.6058,-0.339623
29.6258,-0.276045
29.6459,-0.187299
29.6658,-0.0214949
29.6858,-0.267799
29.7058,-0.268277
29.7258,-0.307791
29.7463,-0.258785
29.7658,0.0224123
29.7858,0.0656554
29.8058,-0.407094
29.8259,-0.596773
29.846,-0.242494
29.8658,-0.122588
29.8858,0.00652848
29.9058,0.14685
29.9259,0.0943787
29.9461,-0.067201
29.9659,-0.0286598
29.9856,-0.164055
30.0058,-0.398785
30.0256,-0.142393
30.0459,0.0433156
30.0659,-0.227096
30.0858,-0.255295
30.1059,-0.0203426
30.1257,0.0225867
30.1462,0.0868556
30.166,-0.360515
30.1858,-0.427287
30.2058,-0.203037
30.2258,-0.509969
30.246,-0.64132
30.2658,-0.47692
30.2857,-0.466722
30.3058,-0.404988
30.3257,0.00988962
30.346,0.470318
30.3661,0.0389654
30.3858,-0.649666
30.4059,-0.36807
30.4257,-0.257972
30.446,-0.317385
30.4658,-0.43312
30.4858,-0.23442
30.5058,-0.0207076
30.5258,-0.260812
30.5461,-0.31728
30.5663,-0.309305
30.5859,-0.0632033
30.6059,-0.152794
30.6256,0.037161
30.6459,-0.010212
30.6658,0.00952863
30.6858,-0.192072
30.7058,-0.410544
30.7257,-0.366729
30.7458,-0.0670549
30.766,0.187984
30.7858,0.359561
30.8057,0.111104
30.8258,0.118284
30.8458,0.19452
30.8658,0.0064175
30.8858,0.0478619
30.9058,0.295709
30.9257,0.255476
30.9458,0.0125303
30.966,-0.0830686
30.9858,-0.00165401
31.0058,0.0280937
31.0257,0.0148189
31.0458,1.03113
31.0659,0.234135
31.0858,0.544848
31.1058,-0.0660001
31.1258,-0.114794
31.1458,-0.0593958
31.1662,0.178233
31.1858,0.397016
31.2057,0.531875
31.2258,0.717545
31.2458,0.54502
31.2659,0.301043
31.2859,0.457756
31.3058,0.0957719
31.3258,-0.287108
31.3456,-0.286546
31.3662,-0.144996
31.3858,-0.137334
31.4057,-0.0988941
31.426,-0.348865
31.4457,-0.445099
31.466,-0.172591
31.4857,0.85776
31.5058,0.843955
31.5258,0.117601
31.5458,-0.714366
31.5662,-0.752428
31.5858,-1.12512
31.6057,-2.02912
31.6258,-1.48615
31.6459,-0.570685
31.6659,-0.118994
31.6857,-0.697026
31.7058,-1.21338
31.7258,-1.64018
31.7458,-1.42722
31.7659,-1.20201
31.7859,-1.10152
31.8058,-1.04466
31.8257,-1.19688
31.8458,-1.04257
31.8659,-0.904698
31.8858,-1.00493
31.9058,-1.0967
31.9258,-1.09823
31.9459,-1.24487
31.966,-1.27743
31.986,-1.20731
32.0056,-1.40718
32.0258,-1.7038
32.0459,-1.561
32.0659,-1.39292
32.0861,-1.27089
32.1058,-1.06766
32.1257,-1.15524
32.1459,-1.06287
32.1658,-0.958739
32.1862,-1.07686
32.2058,-1.25561
32.2258,-1.25134
32.2457,-1.43063
32.2658,-1.53924
32.286,-1.65069
32.3059,-1.68136
32.3257,-1.64183
32.3457,-1.62065
32.3658,-1.53435
32.3862,-1.44838
32.4058,-1.55174
32.4258,-1.53525
32.4458,-1.56962
32.4658,-1.57296
32.4859,-1.58254
32.5057,-1.57527
32.5258,-1.54789
32.5459,-1.39829
32.5658,-1.52771
32.5862,-1.62988
32.6058,-1.80125
32.6258,-1.82447
32.6459,-1.99997
32.6659,-2.12682
32.6859,-2.21849
32.7059,-2.39337
32.7259,-2.61164
32.7457,-2.77564
32.7659,-2.64578
32.7861,-2.117
32.8059,-1.9597
32.8258,-2.03496
32.8458,-2.24919
32.8658,-2.34246
32.8858,-2.27171
32.9057,-2.16177
32.926,-2.10798
32.9458,-2.22884
32.966,-2.26254
32.9859,-2.24855
33.0059,-2.15306
33.0257,-2.15923
33.0458,-2.24951
33.0659,-2.12612
33.0858,-2.21048
33.1059,-2.21091
33.1258,-2.2286
33.1459,-2.24157
33.1658,-2.21386
33.1858,-2.18318
33.2061,-2.18787
33.2258,-2.15969
33.2457,-2.22588
33.2658,-2.17881
33.2858,-2.19955
33.306,-2.16721
33.3258,-2.17898
33.3457,-2.29538
33.366,-2.24025
33.3858,-2.19314
33.4061,-2.17865
33.4258,-2.21863
33.4457,-2.26784
33.4659,-2.23296
33.4858,-2.24451
33.506,-2.20183
33.5258,-2.1745
33.5458,-2.22806
33.5661,-2.18432
33.586,-2.34617
33.6061,-2.21316
33.6257,-2.20053
33.6458,-2.21476
33.6658,-2.21185
33.6857,-2.19073
33.706,-2.24532
33.7258,-2.27989
33.7458,-2.25943
33.7659,-2.19895
33.7861,-2.26825
33.8058,-2.29487
33.8257,-2.20696
33.8458,-2.14913
33.8659,-2.20897
33.8858,-2.2464
33.9059,-2.17773
33.9258,-2.16555
33.9458,-2.17453
33.966,-2.31285
33.9859,-2.16451
34.0059,-2.25286
34.0257,-2.28048
34.0457,-2.23284
34.0659,-2.20875
34.0858,-2.23632
34.1059,-2.19836
34.1258,-2.1939
34.1458,-2.1878
34.166,-2.29248
34.1857,-2.23968
34.2058,-2.20713
34.226,-2.24941
34.2458,-2.21583
34.2658,-2.24125
34.2857,-2.13111
34.3057,-2.17757
34.3259,-2.21692
34.3457,-2.27461
34.366,-2.22861
34.3857,-2.21561
34.4057,-2.23468
34.4258,-2.27878
34.4459,-2.23552
34.4657,-2.21778
34.4858,-2.25093
34.5057,-2.3491
34.5258,-2.20968
34.5459,-2.16545
34.566,-2.13642
34.586,-2.18232
34.6057,-2.25229
34.6258,-2.20185
34.6457,-2.23735
34.6659,-2.32298
34.6857,-2.24937
34.7057,-2.25458
34.7259,-2.28087
34.7458,-2.22238
34.766,-2.27604
34.7859,-2.23269
34.8056,-2.16942
34.8259,-2.23007
34.8458,-2.23972
34.8657,-2.27423
34.8859,-2.26555
34.9058,-2.24449
34.926,-2.23247
34.9458,-2.27015
34.966,-2.22221
34.9859,-2.27174
35.0057,-2.25786
35.0258,-2.26975
35.0457,-2.25394
35.0657,-2.25496
35.086,-2.2614
35.1058,-2.32782
35.1258,-2.26833
35.1457,-2.24549
35.166,-2.2346
35.1859,-2.2285
35.2058,-2.24374
35.2258,-2.23394
35.2458,-2.21566
35.2658,-2.25406
35.2858,-2.16522
35.3058,-2.21124
35.3258,-2.30495
35.3459,-2.29019
35.3661,-2.23374
35.3857,-2.19189
35.4058,-2.18314
35.4259,-2.20817
35.4459,-2.20412
35.4659,-2.27516
35.4858,-2.25538
35.5058,-2.34547
35.5258,-2.25813
35.546,-2.2107
35.5662,-2.27323
35.5858,-2.26134
35.6058,-2.27097
35.6258,-2.28326
35.6459,-2.27996
35.6659,-2.24202
35.6857,-2.15772
35.7058,-2.22601
35.7258,-2.2525
35.7459,-2.23405
35.766,-2.31452
35.7859,-2.2645
35.8058,-2.28972
35.8258,-2.27866
35.8458,-2.20609
35.8659,-2.22232
35.8858,-2.19232
35.9058,-2.2561
35.9259,-2.25546
35.946,-2.27643
35.9658,-2.20681
35.9861,-2.35609
36.0058,-2.33816
36.0257,-2.31083
36.0459,-2.34054
36.0659,-2.25173
36.0858,-2.23196
36.1058,-2.21114
36.1258,-2.26045
36.1459,-2.26745
36.1658,-2.23998
36.186,-2.2641
36.2058,-2.23998
36.2258,-2.24888
36.2458,-2.21015
36.2658,-2.24515
36.2858,-2.26979
36.3058,-2.22326
36.3258,-2.26392
36.3459,-2.25807
36.3661,-2.21304
36.3859,-2.19282
36.4058,-2.28932
36.4258,-2.30165
36.4459,-2.28136
36.4658,-2.2076
36.4858,-2.28146
36.5058,-2.27089
36.5258,-2.27651
36.5458,-2.22377
36.5661,-2.21757
36.5861,-2.29525
36.6058,-2.26403
36.6258,-2.30529
36.6457,-2.29801
36.666,-2.26677
36.6858,-2.20253
36.7058,-2.28518
36.7258,-2.2171
36.7458,-2.27171
36.7659,-2.19967
36.7861,-2.22173
36.8057,-2.32028
36.8258,-2.25638
36.8458,-2.24136
36.8659,-2.20226
36.8857,-2.29782
36.9059,-2.25535
36.9259,-2.20284
36.9458,-2.25652
36.966,-2.26565
36.9861,-2.28912
37.0057,-2.2683
37.0257,-2.23069
37.0458,-2.22728
37.066,-2.16955
37.0858,-2.23926
37.1057,-2.27502
37.1258,-2.298
37.1457,-2.27409
37.1659,-2.30491
37.1861,-2.20401
37.2058,-2.27187
37.2257,-2.22599
37.2457,-2.2097
37.2658,-2.33609
37.2857,-2.29535
37.3058,-2.31767
37.3258,-2.32101
37.3457,-2.28852
37.3658,-2.27183
37.3859,-2.20123
37.4059,-2.30311
37.4257,-2.25031
37.4458,-2.27771
37.4658,-2.2951
37.4858,-2.2663
37.5058,-2.13966
37.5257,-2.20602
37.5459,-2.2863
37.5658,-2.15637
37.5861,-2.2332
37.6061,-2.25624
37.6258,-2.30595
37.6457,-2.26284
37.6659,-2.25188
37.6859,-2.30456
37.7059,-2.23061
37.7257,-2.22597
37.7458,-2.27568
37.7658,-2.22439
37.7859,-2.32515
37.8061,-2.26738
37.8258,-2.22852
37.8459,-2.24537
37.8657,-2.28139
37.8858,-2.2824
37.9057,-2.27223
37.9258,-2.22852
37.9458,-2.25565
37.9657,-2.2374
37.986,-2.29848
38.0061,-2.29843
38.0256,-2.23569
38.0458,-2.24205
38.0659,-2.18072
38.0859,-2.26718
38.1057,-2.34843
38.1257,-2.26311
38.1458,-2.22397
38.1657,-2.29435
38.1859,-2.29718
38.206,-2.32679
38.2257,-2.18871
38.2459,-2.1693
38.2657,-2.21999
38.2858,-2.28996
38.3058,-2.29693
38.3258,-2.23112
38.3458,-2.31461
38.3659,-2.31577
38.3858,-2.29043
38.4059,-2.20551
38.4259,-2.23278
38.4458,-2.222
38.4659,-2.20073
38.4858,-2.23369
38.5058,-2.29275
38.5259,-2.31091
38.5458,-2.27761
38.5659,-2.24972
38.5859,-2.27225
38.6059,-2.22903
38.6261,-2.25369
38.6458,-2.2722
38.666,-2.30367
38.6857,-2.21016
38.7058,-2.25578
38.7258,-2.29189
38.7457,-2.29274
38.7658,-2.29896
38.7858,-2.31313
38.8059,-2.3694
38.826,-2.25829
38.8457,-2.23358
38.8658,-2.30153
38.8858,-2.32402
38.9058,-2.32122
38.9258,-2.24212
38.9458,-2.23445
38.9658,-2.29762
38.9857,-2.29244
39.0061,-2.256
39.0261,-2.23533
39.0458,-2.22391
39.0659,-2.27238
39.0859,-2.30972
39.1059,-2.27287
39.1257,-2.30026
39.1459,-2.28358
39.1659,-2.24947
39.1856,-2.27122
39.206,-2.20324
39.226,-2.29768
39.2459,-2.23826
39.2658,-2.18194
39.2857,-2.26904
39.3059,-2.29295
39.3258,-2.30798
39.3458,-2.25435
39.3659,-2.15836
39.3858,-2.23316
39.4058,-2.29676
39.426,-2.19287
39.4459,-2.20263
39.4659,-2.26623
39.4858,-2.21864
39.5058,-2.1904
39.5258,-2.30514
39.5459,-2.30597
39.5658,-2.23308
39.5859,-2.28528
39.6058,-2.24393
39.626,-2.29461
39.646,-2.29701
39.6658,-2.31159
39.6858,-2.24544
39.7058,-2.25185
39.7259,-2.22047
39.7459,-2.27242
39.7658,-2.26559
39.7857,-2.24505
39.8058,-2.24037
39.8259,-2.29833
39.8461,-2.31731
39.8658,-2.22275
39.8858,-2.20365
39.9059,-2.30201
39.9258,-2.31829
39.9459,-2.22395
39.9659,-2.25191
39.9857,-2.31395
40.0059,-2.22899
40.026,-2.26712
40.0461,-2.24893
40.0657,-2.21976
40.0858,-2.24196
40.1057,-2.24466
40.126,-2.34333
40.1457,-2.24092
40.1658,-2.2586
40.1858,-2.2256
40.2058,-2.23883
40.226,-2.21845
40.2459,-2.31922
40.2658,-2.33609
40.2858,-2.32578
40.3057,-2.19893
40.3258,-2.24276
40.3457,-2.27925
40.3659,-2.25687
40.3858,-2.31187
40.4058,-2.26177
40.4258,-2.18399
40.4459,-2.23336
40.4659,-2.29929
40.4858,-2.31495
40.5057,-2.32774
40.5258,-2.30549
40.5458,-2.26004
40.566,-2.30683
40.5858,-2.28789
40.6057,-2.29724
40.6259,-2.27672
40.6461,-2.30917
40.6659,-2.27612
40.6859,-2.29815
40.7059,-2.31
40.7257,-2.32374
40.746,-2.28785
40.7658,-2.22294
40.7857,-2.31289
